"ID","category","title","country","price","rating","description","vintage","region","varietal","url"
"0","White","Pichler-Krutzler 2017 Ried Kellerberg Riesling (Wachau)","Austria",NULL,"96","Heady, aromatic highlights of candied lemon peel reach the nose, followed by equally rich hints of ripe pear and peach. The palate takes this full force of generous fruit and pitches it against tangy, passion fruit and lemon zest. This is concentrated and has wonderfully spiky lemon freshness on the finish.","2017","Wachau","Riesling","https://www.winemag.com/buying-guide/pichler-krutzler-2017-ried-kellerberg-riesling-wachau/"
"1","Red","Corison 2015 Kronos Vineyard Cabernet Sauvignon (St. Helena)","US","185","95","This is among winemaker Cathy Corison's finest offerings, made from decades-old vines planted on St. George rootstock. Cassis, red currant and floral elements make for an inviting entry of aromatics that is followed by substantial structure and classic herbal undertones. A pillowy body of balanced elegance is met by an earthy, leathery finish of complex beauty.","2015","California","Cabernet Sauvignon","https://www.winemag.com/buying-guide/corison-2015-kronos-vineyard-cabernet-sauvignon-st-helena-308720/"
"131","Red","Johanneshof Reinisch 2016 Ried Holzspur St. Laurent (Thermenregion)","Austria","90","95","Cinnamon and plum notes immediately reach the nose before a more pervasive, dark peony note makes itself felt. The concentrated palate presents the finest web of sheer tannins, which provide an almost invisible but nonetheless firm structure against which the sonorous plum fruit can play. A very elegant, fine-boned wine that will reward with a little bottle aging. Lovely freshness pervades all. Drink 2022–2032.","2016","Thermenregion","St. Laurent","https://www.winemag.com/buying-guide/johanneshof-reinisch-2016-ried-holzspur-st-laurent-thermenregion/"
"132","White","Eichinger 2017 Ried Lamm Grüner Veltliner (Kamptal)","Austria","39","95","Soft green pear on the nose has edges of dried sage. The slender palate still seems tightly closed but its pithy, textured concentration promises depths of salty, yeasty, pear- and citrus-fruited pleasure. This will blossom with a little bottle aging and will definitely be worth the wait. Drink 2022–2030.","2017","Kamptal","Grüner Veltliner","https://www.winemag.com/buying-guide/eichinger-2017-ried-lamm-gruner-veltliner-kamptal/"
"133","Red","Domaine du Pegau 2013 Cuvée Laurence Red (Châteauneuf-du-Pape)","France","115","95","Tasted five years after bottling, this wine still shows a core of dried strawberry and cherry flavor, but it's shaded by umami tones of balsamic, leather and mushroom. It's intoxicatingly rich on the palate but balanced freshly, edged by delicate tea tannins. This complex wine shows its savory side elegantly. It drinks well now but should hold till 2024.","2013","Rhône Valley","Rhône-style Red Blend","https://www.winemag.com/buying-guide/domaine-du-pegau-2013-cuvee-laurence-red-chateauneuf-du-pape/"
"134","White","Bründlmayer 2017 Ried Heiligenstein Lyra Riesling (Kamptal)","Austria","75","95","A touch of reduction, a hint of savory soy and the aromatic headiness of crushed citrus foliage make for a most intriguing, inviting nose. The palate has a generous, easy juiciness; a harmonious ripeness and a lovely edge of pith on its concentrated texture. The finish is fresh but rounded, dry and long.","2017","Kamptal","Riesling","https://www.winemag.com/buying-guide/brundlmayer-2017-ried-heiligenstein-lyra-riesling-kamptal/"
"135","Red","Williams Selyem 2016 Vista Verde Vineyard Pinot Noir (San Benito County)","US","59","95","Beautifully plump aromas of black plum, violet, rose and baked fennel show on the nose of this bottling. Soft and full on the palate, it offers plenty of fruit surrounding the earthy core, with flavors of wild cherry, cherry pit, Alpine strawberry, loam and herb.","2016","California","Pinot Noir","https://www.winemag.com/buying-guide/williams-selyem-2016-vista-verde-vineyard-pinot-noir-san-benito-county/"
"136","Red","Alpha Omega 2015 Cabernet Sauvignon (Napa Valley)","US","102","95","This wine is pretty, floral and compact in red fruit, the texture soft and billowy on the palate. Rich and full bodied, it has additional complexity from small amounts of Cabernet Franc, Merlot and Petit Verdot. Integrated beautifully, it shows balance and power in equal measure.","2015","California","Cabernet Sauvignon","https://www.winemag.com/buying-guide/alpha-omega-2015-cabernet-sauvignon-napa-valley/"
"137","Red","Rémi Niero 2015 Eminence  (Côte Rôtie)","France","88","95","Lavender and violet perfume extends from nose to finish in this aromatic Syrah. Black-plum and cherry flavors are juicy yet spry, balanced by crisp acidity and tangs of crushed granite. Ripe, fine tannins accentuate its supple style. Lovely already it should gain complexity well through 2030 and hold further.","2015","Rhône Valley","Rhône-style Red Blend","https://www.winemag.com/buying-guide/remi-niero-2015-eminence-cote-rotie/"
"138","White","Nigl 2017 Ried Hochäcker Privat Riesling (Kremstal)","Austria","68","95","Lovely, aromatic notes of lemon and bergamot peel play on the nose. The palate comes in with a wonderfully zesty purity that lends tension to the entire palate. Mouthwatering freshness lies at the core of this streamlined, citrus-filled wine. The finish is dry, long, zesty and moreish.","2017","Kremstal","Riesling","https://www.winemag.com/buying-guide/nigl-2017-ried-hochacker-privat-riesling-kremstal/"
"139","White","Nigl 2017 Ried Goldberg Riesling (Kremstal)","Austria","79","95","Ripe Mirabelle plum and red apple fruit are surrounded by aromatic notes of crushed citrus foliage. That alluring headiness continues on the fresh, juicy, generous body that always has a zesty, almost salty, mouthwatering edge. Wonderfully streamlined and fresh, with a long, zesty and dry finish. Drink until 2035.","2017","Kremstal","Riesling","https://www.winemag.com/buying-guide/nigl-2017-ried-goldberg-riesling-kremstal/"
"140","White","Malat 2017 Ried Höhlgraben Alte Reben Grüner Veltliner (Kremstal)","Austria","50","95","Yeast, wet earth and supremely aromatic pear notes make for an intriguing nose. On the palate it is lifted, fruity, fresh and almost passion-fruit-like juiciness that make this irresistible. The body is concentrated and fluid and for now showcases its brilliant, refreshing and exciting fruit, but underneath is a core of salty richness that makes this so very moreish. Fluid, salty, zesty, slender but rounded.","2017","Kremstal","Grüner Veltliner","https://www.winemag.com/buying-guide/malat-2017-ried-hohlgraben-alte-reben-gruner-veltliner-kremstal/"
"141","Red","Leitmotif 2016 Duvarita Vineyard Pinot Noir (Santa Barbara County)","US","46","95","This is a phenomenal start for the small-batch side project by Stephen Searle, whose main job is running Jaffurs Winery. Intense aromas of Bing cherry jelly, crushed rocks and dried sage show on the nose, while the palate combines wild berry and minty flavors with a strong chalky grip, proving both luxurious and refreshing.","2016","California","Pinot Noir","https://www.winemag.com/buying-guide/leitmotif-2016-duvarita-vineyard-pinot-noir-santa-barbara-county/"
"142","White","Hiedler 2017 Ried Heiligenstein Riesling (Kamptal)","Austria","50","95","Something savory, something aromatic dances on the nose. It is reminiscent of green bergamot peel. The palate comes in with wonderful concentration and precise slenderness, yet is brimming with both tart and ripe citrus notes that range from Mandarin orange to zesty lime. This echoes long and is really lip-smacking.","2017","Kamptal","Riesling","https://www.winemag.com/buying-guide/hiedler-2017-ried-heiligenstein-riesling-kamptal/"
"143","White","Eichinger 2017 Ried Gaisberg Riesling (Kamptal)","Austria","32","95","Amid the lively and bright lemon notes on the nose, a riper, more aromatic touch of juicy Mandarin and blood orange sets an exotic accent. The palate comes in with a lovely, light, easy juiciness and a wonderful harmony of ripe freshness and expressive, juicy fruit. The zesty concentration is made manifest only on the finish.","2017","Kamptal","Riesling","https://www.winemag.com/buying-guide/eichinger-2017-ried-gaisberg-riesling-kamptal/"
"144","Dessert","Cave Spring 2017 Icewine Riesling (Lincoln Lakeshore)","Canada","60","95","Thick, concentrated flavors of apricot marmalade, papaya and tangerine dive deep down into the core. This fruit-driven flavor riot is amply annotated by a lush seam of caramel, and the flavors go on and on. One half size bottle will happily serve 4-to-6 sweet tooths.","2017","Lincoln Lakeshore","Riesling","https://www.winemag.com/buying-guide/cave-spring-2017-icewine-riesling-lincoln-lakeshore-308053/"
"145","Red","Allegrini 2011 Fieramonte Riserva  (Amarone della Valpolicella Classico)","Italy","250","95","Aromas evoking fruitcake, red-plum preserve, exotic spice and French oak take center stage. The full-bodied, generous palate also boasts finesse and focus, delivering cherry marinated in spirits, prune, crushed alpine herb, ground pepper and clove. Fine-grained, velvety tannins provide the backbone while fresh acidity lifts the rich flavors. Drink 2021–2031.","2011","Veneto","Red Blend","https://www.winemag.com/buying-guide/allegrini-2011-fieramonte-riserva-amarone-della-valpolicella-classico-307644/"
"146","Red","Williams Selyem 2016 Weir Vineyard Pinot Noir (Yorkville Highlands)","US","62","95","Great ripeness comes with great balance in this fruity, expressive and firm-textured wine. It is full in body but not flabby due to sinewy tannins and persistent acidity. Aromas and flavors run from cinnamon to black cherry to rhubarb, as hints of nutmeg and vanilla show a deft touch of oak. Best from 2022.","2016","California","Pinot Noir","https://www.winemag.com/buying-guide/williams-selyem-2016-weir-vineyard-pinot-noir-yorkville-highlands/"
"147","White","Weszeli 2015 Ried Steinmassl Riesling (Kamptal)","Austria","49","95","Very ripe and supremely juicy Mirabelle plum fruit appears promisingly on the nose. The palate obliges with rich, rounded and generous Mirabelle juiciness. There is freshness to counter this with a faint line of grapefruit zestiness. But Mirabelle plays front and center. The finish is streamlined, lip-smacking and dry. Drink now–2030.","2015","Kamptal","Riesling","https://www.winemag.com/buying-guide/weszeli-2015-ried-steinmassl-riesling-kamptal/"
"148","Red","Storm 2015 Vrede Pinot Noir","South Africa","50","95","There's an herbal edge right upfront on the nose of this wine, with some earthy foliage, raw cocoa nib and fresh-tilled dirt aromas that are amply supported by a fruity core of red cherry flesh, plum, wild strawberry and raspberry. The bright palate offers beautiful minerality, as pristine, pure red-fruit flavors are coupled with a saline burst on the midpalate and through the close. Fine tannins lend a subtle structure. It's well balanced, focused and precise, a gorgeous wine that is hard to resist now and should evolve well through 2028.","2015",NULL,"Pinot Noir","https://www.winemag.com/buying-guide/storm-2015-vrede-pinot-noir-309183/"
"149","White","Türk 2017 Ried Kremser Thurnerberg Reserve Grüner Veltliner (Kremstal)","Austria",NULL,"95","The fragrance of crushed citrus leaves creates a heady opening on the nose before ripe pear and lemon balm follow. The palate presents a picture of concentrated zestiness with edges of white pepper, salty preserved lemon and arugula, all wrapped in pear-fruited richness. Zest also characterizes the finish of this wine, which carries its full-flavored richness lightly.","2017","Kremstal","Grüner Veltliner","https://www.winemag.com/buying-guide/turk-2017-ried-kremser-thurnerberg-reserve-gruner-veltliner-kremstal/"
"150","White","Leindl 2017 Ried Heiligenstein Riesling (Kamptal)","Austria","43","95","A hint of dried pear and dried lime zest plays before juicier lime speaks. The palate has a similar tension between ripe, almost dried fruit richness, while zestiness tones it all down into taut slenderness. This is exciting, textured, juicy and totally moreish. There is something concentrated and pervasive that hits several pleasure buttons at once. Drink now–2035.","2017","Kamptal","Riesling","https://www.winemag.com/buying-guide/leindl-2017-ried-heiligenstein-riesling-kamptal/"
"151","White","Josef Jamek 2017 Ried Liebenberg Smaragd Grüner Veltliner (Wachau)","Austria","37","95","A lovely green apple freshness streams from the glass before a fennel and yeast savoriness spreads out. The slender palate then regales us with utter lemony concentration that highlights pepper, pear, apple, sage and wet stone. Zestiness shimmers and is wonderfully pervasive, keeping this taut and wonderfully vivid.","2017","Wachau","Grüner Veltliner","https://www.winemag.com/buying-guide/josef-jamek-2017-ried-liebenberg-smaragd-gruner-veltliner-wachau/"
