"varietal","category","average_price_varietal"
"Zweigelt-Pinot Noir","Red","                15.00"
"Zweigelt","Dessert","                40.73"
"Zweigelt","Red","                22.04"
"Zweigelt","Rose","                14.18"
"Zweigelt","Sparkling","                22.83"
"Zweigelt","White","                15.00"
"Zlahtina","White","                16.00"
"Zinfandel","Dessert","                27.83"
"Zinfandel","Port/Sherry","                34.38"
"Zinfandel","Red","                27.50"
"Zinfandel","Rose","                12.14"
"Zinfandel","Sparkling","                27.00"
"Zinfandel","White","                21.67"
"Žilavka","White","                14.67"
"Zierfandler-Rotgipfler","White","                23.75"
"Zierfandler","Dessert","                38.00"
"Zierfandler","White","                35.78"
"Zibibbo","Dessert","                41.68"
"Zibibbo","Fortified","                25.00"
"Zibibbo","White","                26.77"
"Zelen","White",NULL
"Yapincak","White","                18.00"
"Xynisteri","White","                18.50"
"Xinomavro","Red","                23.74"
"Xinomavro","Rose","                12.20"
"Xinomavro","White","                15.00"
"Xinisteri","Dessert","                20.00"
"Xinisteri","White","                10.00"
"Xarel-lo","Red","                15.00"
"Xarel-lo","Sparkling","                29.20"
"Xarel-lo","White","                18.69"
"White Riesling","Dessert","                31.30"
"White Riesling","White","                15.25"
"White Port","Dessert","                40.00"
"White Port","Port/Sherry","                24.67"
"White Blend","Dessert","                45.07"
"White Blend","Fortified","                28.75"
"White Blend","Port/Sherry","                14.00"
"White Blend","Red","                16.00"
"White Blend","Rose","                14.50"
"White Blend","Sparkling","                22.55"
"White Blend","White","                20.84"
"Welschriesling","Dessert","                56.50"
"Welschriesling","Sparkling","                21.00"
"Welschriesling","White","                18.67"
"Weisser Burgunder","White","                31.80"
"Weissburgunder","Dessert","                65.50"
"Weissburgunder","White","                27.23"
"Vranec","Red","                15.50"
"Vranac","Red","                11.00"
"Viura-Verdejo","White","                14.33"
"Viura-Sauvignon Blanc","White","                13.00"
"Viura-Chardonnay","White","                10.65"
"Viura","Red","                 9.67"
"Viura","White","                14.18"
"Vitovska","White","                53.25"
"Vital","White",NULL
"Viosinho","White","                22.60"
"Viognier-Valdiguié","White","                17.00"
"Viognier-Roussanne","White","                23.67"
"Viognier-Pinot Gris","White","                20.00"
"Viognier-Marsanne","Red","                16.00"
"Viognier-Marsanne","White","                20.38"
"Viognier-Grenache Blanc","White","                28.50"
"Viognier-Gewürztraminer","White","                15.00"
"Viognier-Chardonnay","White","                17.57"
"Viognier","Dessert","                26.17"
"Viognier","Port/Sherry","                21.00"
"Viognier","Red","                19.80"
"Viognier","Rose","                16.00"
"Viognier","Sparkling","                43.50"
"Viognier","White","                24.68"
"Vinhão","Red","                18.00"
"Vinhão","Rose",NULL
"Vinhão","Sparkling","                26.00"
"Vilana","Red","                11.00"
"Vilana","White","                13.38"
"Vignoles","Dessert","                20.71"
"Vignoles","White","                13.35"
"Vidal Blanc","Dessert","                41.07"
"Vidal Blanc","Sparkling","                25.00"
"Vidal Blanc","White","                19.28"
"Vidal","Dessert","                50.38"
"Vidal","White","                14.00"
"Vidadillo","Red","                24.00"
"Vespolina","Red","                36.67"
"Vespaiolo","Dessert","                75.00"
"Vespaiolo","White","                10.00"
"Vernaccia","Red","                21.50"
"Vernaccia","White","                18.52"
"Vermentino Nero","Red","                45.00"
"Vermentino","Dessert","                37.00"
"Vermentino","Rose","                40.00"
"Vermentino","Sparkling","                20.00"
"Vermentino","White","                22.35"
"Verduzzo Friulano ","Dessert","                36.42"
"Verduzzo Friulano ","White","                37.00"
"Verduzzo","Dessert","                22.17"
"Verduzzo","White","                37.67"
"Verdosilla","White","                17.00"
"Verdil","White","                17.00"
"Verdicchio","Dessert","                46.50"
"Verdicchio","Sparkling","                27.20"
"Verdicchio","White","                20.56"
"Verdelho","Dessert","                32.00"
"Verdelho","Fortified","                98.00"
"Verdelho","Port/Sherry","                21.00"
"Verdelho","White","                15.78"
"Verdejo-Viura","White","                11.73"
"Verdejo-Sauvignon Blanc","White","                12.00"
"Verdejo","Red","                14.00"
"Verdejo","Sparkling","                30.00"
"Verdejo","White","                15.89"
"Verdeca","Sparkling","                30.00"
"Verdeca","White","                16.67"
"Veltliner","White","                29.50"
"Valvin Muscat","Sparkling","                15.00"
"Valvin Muscat","White","                13.00"
"Valdiguié","Red","                20.29"
"Uvalino","Red","                29.00"
"Uva di Troia","Red","                23.47"
"Ugni Blanc-Colombard","White","                10.33"
"Ugni Blanc","Sparkling","                10.00"
"Ugni Blanc","White","                27.50"
"Turbiana","Dessert","                31.00"
"Turbiana","Sparkling","                33.62"
"Turbiana","White","                22.55"
"Tsolikouri","White","                14.00"
"Tsapournakos","Red","                27.00"
"Trousseau Gris","White","                22.00"
"Trousseau","Red","                36.09"
"Trollinger","Red","                22.00"
"Trincadeira","Red","                21.21"
"Trincadeira","White","                24.00"
"Trepat","Red","                24.50"
"Trepat","Sparkling","                21.50"
"Treixadura","White","                17.50"
"Trebbiano Spoletino","White","                22.00"
"Trebbiano di Lugana","White","                22.00"
"Trebbiano-Malvasia","Dessert","                49.25"
"Trebbiano","Sparkling","                37.50"
"Trebbiano","White","                21.74"
"Traminette","Sparkling","                18.00"
"Traminette","White","                15.59"
"Traminer","Dessert","                50.67"
"Traminer","Red","                13.00"
"Traminer","White","                20.15"
"Traminac","White","                28.00"
"Trajadura","White","                11.67"
"Touriga Nacional Blend","Dessert","                16.00"
"Touriga Nacional Blend","Red","                26.85"
"Touriga Nacional Blend","Sparkling",NULL
"Touriga Nacional-Cabernet Sauvignon","Red","                15.46"
