"varietal","average_price_varietal"
"Agiorgitiko","                18.00"
"Aglianico","                32.50"
"Aidani","                28.50"
"Airen","                12.22"
"Albana","                18.28"
"Albanello","                20.00"
"Albarín","                15.00"
"Albariño","                21.06"
"Albillo","                20.00"
"Alcamo","                10.00"
"Aleatico","                22.00"
"Aligoté","                19.32"
"Alsace white blend","                32.84"
"Altesse","                17.45"
"Alvarinho","                18.48"
"Alvarinho-Chardonnay","                11.50"
"Alvarinho-Trajadura","                11.50"
"Angevine","                12.25"
"Ansonica","                23.33"
"Antão Vaz","                21.58"
"Aragonês","                39.00"
"Arinto","                16.51"
"Arinto-Chardonnay","                17.50"
"Arneis","                20.12"
"Asprinio","                23.50"
"Assyrtico","                22.75"
"Assyrtiko","                23.77"
"Assyrtiko-Sauvignon Blanc","                21.00"
"Athiri","                16.00"
"Austrian white blend","                27.53"
"Auxerrois","                22.81"
"Avesso","                15.33"
"Azal","                14.00"
"Bacchus",NULL
"Barbera","                21.67"
"Biancale","                18.00"
"Biancolella","                26.00"
"Biancu Gentile","                36.00"
"Bical","                15.07"
"Blanc du Bois","                19.67"
"Blaufränkisch","                21.50"
"Bogdanjuša","                17.00"
"Bombino Bianco","                20.40"
"Bonarda","                 9.00"
"Bordeaux-style Red Blend","                31.08"
"Bordeaux-style White Blend","                31.90"
"Bukettraube","                18.00"
"Cabernet Blend","                40.00"
"Cabernet Franc","                28.67"
"Cabernet Sauvignon","                44.51"
"Cabernet Sauvignon-Carmenère","                16.00"
"Cabernet Sauvignon-Merlot","                 9.00"
"Cabernet Sauvignon-Tempranillo","                18.00"
"Camarlet","                25.00"
"Cannonau","                31.50"
"Caprettone","                18.50"
"Carmenère","                13.67"
"Carricante","                36.84"
"Castelão","                30.00"
"Catalanesca","                26.00"
"Catarratto","                19.27"
"Cayuga","                18.33"
"Cerceal","                41.00"
"Cercial","                50.00"
"Champagne Blend","                 9.00"
"Chardonel","                11.00"
"Chardonelle","                30.00"
"Chardonnay","                31.08"
"Chardonnay-Albariño","                31.00"
"Chardonnay-Macabeo","                10.00"
"Chardonnay-Pinot Blanc","                29.00"
"Chardonnay-Pinot Grigio","                 9.50"
"Chardonnay-Pinot Gris","                15.00"
"Chardonnay-Riesling","                24.00"
"Chardonnay-Sauvignon","                11.43"
"Chardonnay-Sauvignon Blanc","                15.57"
"Chardonnay-Semillon","                16.88"
"Chardonnay-Viognier","                14.79"
"Chardonnay Weissburgunder","                25.00"
"Chasselas","                25.19"
"Chenin Blanc","                19.92"
"Chenin Blanc-Chardonnay","                10.64"
"Chenin Blanc-Sauvignon Blanc","                10.50"
"Chenin Blanc-Verdelho","                35.00"
"Chenin Blanc-Viognier","                15.56"
"Chinuri","                25.33"
"Cinsault","                 9.00"
"Clairette","                35.67"
"Claret","                30.00"
"Cococciola","                23.00"
"Coda di Volpe","                19.09"
"Códega do Larinho","                18.00"
"Colombard","                15.32"
"Colombard-Sauvignon Blanc","                11.24"
"Colombard-Ugni Blanc","                10.33"
"Cortese","                19.51"
"Corvina","                66.00"
"Cserszegi Fűszeres","                 9.00"
"Dafni","                20.00"
"Debit","                22.00"
"Diamond","                10.00"
"Dolcetto","                18.00"
"Doña Blanca","                50.50"
"Dorona",NULL
"Durello","                22.00"
"Edelzwicker","                18.40"
"Ehrenfelser","                20.00"
"Elbling","                16.00"
"Emir","                16.33"
"Encruzado","                23.27"
"Erbaluce","                22.50"
"Falanghina","                19.81"
"Favorita","                22.25"
"Fernão Pires","                20.62"
"Feteasca","                16.67"
"Feteascǎ Regalǎ","                10.83"
"Fiano","                26.82"
"Fiano Bianco","                16.00"
"Flora","                32.00"
"Folle Blanche","                16.50"
"Frappato","                33.00"
"Friulano","                23.10"
"Fumé-Chardonnay","                10.00"
"Fumé Blanc","                19.57"
"Furmint","                24.10"
"Gamay","                20.00"
"Garganega","                18.95"
"Garnacha","                21.00"
"Garnacha Blanca","                18.21"
"Garnatxa Blanca","                14.00"
"Gelber Muskateller","                23.91"
"Gewürztraminer","                24.88"
"Gewürztraminer-Riesling","                19.13"
"Glera","                16.50"
"Godello","                22.32"
"Gragnano","                11.00"
"Graševina","                24.00"
"Grauburgunder","                23.42"
"Grecanico","                19.67"
"Grechetto","                17.10"
"Greco","                25.12"
"Greco Bianco","                17.67"
"Grenache","                22.13"
"Grenache Blanc","                25.39"
"Grenache Blend","                23.00"
"Grenache Gris","                32.00"
"Grenache Noir","                40.00"
"Grillo","                16.67"
"Gros and Petit Manseng","                20.33"
"Gros Manseng","                16.38"
"Gros Plant","                16.00"
"Grüner Veltliner","                28.90"
"Hárslevelü","                19.33"
"Hondarrabi Zuri","                20.81"
"Incrocio Manzoni","                24.75"
"Insolia","                16.86"
"Inzolia","                15.51"
"Irsai Oliver","                13.00"
"Jacquère","                17.36"
"Jaen","                20.00"
"Jampal","                25.00"
"Johannisberg","                30.00"
"Johannisberg Riesling","                10.75"
"Juhfark","                28.00"
"Kangoun","                14.00"
"Kerner","                22.83"
"Kinali Yapincak","                15.00"
"Királyleányka","                 9.00"
"Kisi","                19.80"
"Koshu","                24.00"
"Liebfraumilch","                 6.00"
"Loin de l'Oeil","                19.50"
"Loureiro","                12.80"
"Loureiro-Arinto","                10.00"
"Macabeo","                13.26"
"Macabeo-Chardonnay","                10.80"
"Macabeo-Gewürztraminer","                10.00"
"Macabeo-Moscatel","                 7.50"
"Madeleine Angevine","                17.50"
"Malagousia","                20.67"
"Malagouzia","                20.40"
"Malagouzia-Chardonnay","                 8.00"
"Malbec","                17.43"
"Malvar","                21.00"
"Malvasia","                24.20"
"Malvasia-Viura","                15.75"
"Malvasia Bianca","                20.61"
"Malvasia di Candia","                22.00"
"Malvasia Fina","                16.50"
"Malvasia Istriana","                19.36"
"Malvazija","                19.00"
"Malvoisie","                14.00"
