ID,varietal,title,country,price,rating,vintage,region,url,description
1,Cabernet Sauvignon,Corison 2015 Kronos Vineyard Cabernet Sauvignon (St. Helena),US,185,95,2015,California,https://www.winemag.com/buying-guide/corison-2015-kronos-vineyard-cabernet-sauvignon-st-helena-308720/,"This is among winemaker Cathy Corison's finest offerings, made from decades-old vines planted on St. George rootstock. Cassis, red currant and floral elements make for an inviting entry of aromatics that is followed by substantial structure and classic herbal undertones. A pillowy body of balanced elegance is met by an earthy, leathery finish of complex beauty."
133,Rhône-style Red Blend,Domaine du Pegau 2013 Cuvée Laurence Red (Châteauneuf-du-Pape),France,115,95,2013,Rhône Valley,https://www.winemag.com/buying-guide/domaine-du-pegau-2013-cuvee-laurence-red-chateauneuf-du-pape/,"Tasted five years after bottling, this wine still shows a core of dried strawberry and cherry flavor, but it's shaded by umami tones of balsamic, leather and mushroom. It's intoxicatingly rich on the palate but balanced freshly, edged by delicate tea tannins. This complex wine shows its savory side elegantly. It drinks well now but should hold till 2024."
135,Pinot Noir,Williams Selyem 2016 Vista Verde Vineyard Pinot Noir (San Benito County),US,59,95,2016,California,https://www.winemag.com/buying-guide/williams-selyem-2016-vista-verde-vineyard-pinot-noir-san-benito-county/,"Beautifully plump aromas of black plum, violet, rose and baked fennel show on the nose of this bottling. Soft and full on the palate, it offers plenty of fruit surrounding the earthy core, with flavors of wild cherry, cherry pit, Alpine strawberry, loam and herb."
136,Cabernet Sauvignon,Alpha Omega 2015 Cabernet Sauvignon (Napa Valley),US,102,95,2015,California,https://www.winemag.com/buying-guide/alpha-omega-2015-cabernet-sauvignon-napa-valley/,"This wine is pretty, floral and compact in red fruit, the texture soft and billowy on the palate. Rich and full bodied, it has additional complexity from small amounts of Cabernet Franc, Merlot and Petit Verdot. Integrated beautifully, it shows balance and power in equal measure."
137,Rhône-style Red Blend,Rémi Niero 2015 Eminence  (Côte Rôtie),France,88,95,2015,Rhône Valley,https://www.winemag.com/buying-guide/remi-niero-2015-eminence-cote-rotie/,"Lavender and violet perfume extends from nose to finish in this aromatic Syrah. Black-plum and cherry flavors are juicy yet spry, balanced by crisp acidity and tangs of crushed granite. Ripe, fine tannins accentuate its supple style. Lovely already it should gain complexity well through 2030 and hold further."
141,Pinot Noir,Leitmotif 2016 Duvarita Vineyard Pinot Noir (Santa Barbara County),US,46,95,2016,California,https://www.winemag.com/buying-guide/leitmotif-2016-duvarita-vineyard-pinot-noir-santa-barbara-county/,"This is a phenomenal start for the small-batch side project by Stephen Searle, whose main job is running Jaffurs Winery. Intense aromas of Bing cherry jelly, crushed rocks and dried sage show on the nose, while the palate combines wild berry and minty flavors with a strong chalky grip, proving both luxurious and refreshing."
145,Red Blend,Allegrini 2011 Fieramonte Riserva  (Amarone della Valpolicella Classico),Italy,250,95,2011,Veneto,https://www.winemag.com/buying-guide/allegrini-2011-fieramonte-riserva-amarone-della-valpolicella-classico-307644/,"Aromas evoking fruitcake, red-plum preserve, exotic spice and French oak take center stage. The full-bodied, generous palate also boasts finesse and focus, delivering cherry marinated in spirits, prune, crushed alpine herb, ground pepper and clove. Fine-grained, velvety tannins provide the backbone while fresh acidity lifts the rich flavors. Drink 2021–2031."
146,Pinot Noir,Williams Selyem 2016 Weir Vineyard Pinot Noir (Yorkville Highlands),US,62,95,2016,California,https://www.winemag.com/buying-guide/williams-selyem-2016-weir-vineyard-pinot-noir-yorkville-highlands/,"Great ripeness comes with great balance in this fruity, expressive and firm-textured wine. It is full in body but not flabby due to sinewy tannins and persistent acidity. Aromas and flavors run from cinnamon to black cherry to rhubarb, as hints of nutmeg and vanilla show a deft touch of oak. Best from 2022."
154,Rhône-style Red Blend,Delas Frères 2016 Seigneur De Maugiron  (Côte Rôtie),France,112,95,2016,Rhône Valley,https://www.winemag.com/buying-guide/delas-freres-2016-seigneur-de-maugiron-cote-rotie/,"Perfumed notes of violet and wild thyme introduce the penetrating black-cherry and plum flavors of this wine. It's bristling and vibrant, darkened by shades of bramble and garrigue. Concentrated and held upright by fine, firm tannins, it's already lovely but should improve through 2035 and hold further."
157,Syrah,Bien Nacido Estate 2015 The XO Reserve Syrah (Santa Maria Valley),US,100,95,2015,California,https://www.winemag.com/buying-guide/bien-nacido-estate-2015-the-xo-reserve-syrah-santa-maria-valley/,"From a block planted in 1987, this bottling offers an extremely fresh, bright and snappy black raspberry aroma, with deeper tones of tar, char and coffee in the background. The palate is all about grippy tannins, roasted berries and white pepper spice. Drink now–2035."
158,Red Blend,Alpha Omega 2015 Proprietary Red (Napa Valley),US,102,95,2015,California,https://www.winemag.com/buying-guide/alpha-omega-2015-proprietary-red-napa-valley/,"This blends 71% Cabernet Sauvignon with 13% Cabernet Franc, 11% Petit Verdot and 5% Merlot. Together, they present a reduced grip of tar, black cherry, blackberry and substantial power within a graceful frame of supportive acidity and integrated oak. Let this one lie; enjoy best 2025–2030."
161,Cabernet Sauvignon,Stewart 2016 Nomad Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon (Napa Valley),US,175,95,2016,California,https://www.winemag.com/buying-guide/stewart-2016-nomad-beckstoffer-missouri-hopper-vineyard-cabernet-sauvignon-napa-valley/,"The producer's new Nomad collection includes bottlings from every marquee Beckstoffer Cabernet Sauvignon vineyard in the Napa Valley. This is an herbal, dusty, old-world offering, deep in grippy tannins and the youthful vigor of firm acidity. Pencil shavings, red currant and a streak of cocoa play on the palate with bright abandon. Enjoy best from 2026–2030."
174,Pinot Noir,Sanford 2014 Founders' Vines Pinot Noir (Sta. Rita Hills),US,115,95,2014,California,https://www.winemag.com/buying-guide/sanford-2014-founders-vines-pinot-noir-sta-rita-hills/,"This single-block expression is extremely earthy on the nose with aromas of loamy soil, wet gravel, sumac, cinnamon and wild berries. It's light in the glass, with rounded flavors of raspberry, cherry and underripe strawberry as well as a clay-like minerality. A chalky mouthfeel leads into a clean and taut finish."
177,Pinot Noir,Domaine Serene 2015 Mark Bradford Vineyard Pinot Noir (Dundee Hills),US,130,95,2015,Oregon,https://www.winemag.com/buying-guide/domaine-serene-2015-mark-bradford-vineyard-pinot-noir-dundee-hills-308078/,"This is sourced from the oldest vineyard on the estate, a high-elevation site now reaching optimum maturity. The flavors are a deep, densely textured mix of black fruits, cocoa powder and baking spices. It's a stunning bottle, delicious now and a choice cellar candidate through 2030."
178,Sangiovese,Boscarelli 2015 Costa Grande  (Vino Nobile di Montepulciano),Italy,95,95,2015,Tuscany,https://www.winemag.com/buying-guide/boscarelli-2015-costa-grande-vino-nobile-di-montepulciano-307720/,"Made entirely with Sangiovese, this offers enticing aromas of exotic spice, ripe black-skinned fruit, tilled soil, French oak and a whiff of leather. The full-bodied palate boasts structure, elegance and tension, delivering juicy wild cherry, raspberry, star anise and espresso set against firm fine-grained tannins. Drink 2022–2030."
180,Rhône-style Red Blend,Alain Jaume et Fils 2016 Domaine Grand Veneur Vieilles Vignes Red (Châteauneuf-du-Pape),France,120,95,2016,Rhône Valley,https://www.winemag.com/buying-guide/alain-jaume-et-fils-2016-domaine-grand-veneur-vieilles-vignes-red-chateauneuf-du-pape/,"Crisp, sun-kissed cherry and wild-strawberry notes introduce this floral, perfumed wine. Made from predominantly old vines, it's intensely concentrated and forward in fruit yet shaded by hints of violet, lavender and bramble. This full-bodied, unctuous wine with fine, gripping tannins should improve through 2030 and hold further."
