ID,varietal,title,country,price,rating,vintage,region,url,description
0,Riesling,Pichler-Krutzler 2017 Ried Kellerberg Riesling (Wachau),Austria,NULL,96,2017,Wachau,https://www.winemag.com/buying-guide/pichler-krutzler-2017-ried-kellerberg-riesling-wachau/,"Heady, aromatic highlights of candied lemon peel reach the nose, followed by equally rich hints of ripe pear and peach. The palate takes this full force of generous fruit and pitches it against tangy, passion fruit and lemon zest. This is concentrated and has wonderfully spiky lemon freshness on the finish."
132,Grüner Veltliner,Eichinger 2017 Ried Lamm Grüner Veltliner (Kamptal),Austria,39,95,2017,Kamptal,https://www.winemag.com/buying-guide/eichinger-2017-ried-lamm-gruner-veltliner-kamptal/,"Soft green pear on the nose has edges of dried sage. The slender palate still seems tightly closed but its pithy, textured concentration promises depths of salty, yeasty, pear- and citrus-fruited pleasure. This will blossom with a little bottle aging and will definitely be worth the wait. Drink 2022–2030."
134,Riesling,Bründlmayer 2017 Ried Heiligenstein Lyra Riesling (Kamptal),Austria,75,95,2017,Kamptal,https://www.winemag.com/buying-guide/brundlmayer-2017-ried-heiligenstein-lyra-riesling-kamptal/,"A touch of reduction, a hint of savory soy and the aromatic headiness of crushed citrus foliage make for a most intriguing, inviting nose. The palate has a generous, easy juiciness; a harmonious ripeness and a lovely edge of pith on its concentrated texture. The finish is fresh but rounded, dry and long."
138,Riesling,Nigl 2017 Ried Hochäcker Privat Riesling (Kremstal),Austria,68,95,2017,Kremstal,https://www.winemag.com/buying-guide/nigl-2017-ried-hochacker-privat-riesling-kremstal/,"Lovely, aromatic notes of lemon and bergamot peel play on the nose. The palate comes in with a wonderfully zesty purity that lends tension to the entire palate. Mouthwatering freshness lies at the core of this streamlined, citrus-filled wine. The finish is dry, long, zesty and moreish."
139,Riesling,Nigl 2017 Ried Goldberg Riesling (Kremstal),Austria,79,95,2017,Kremstal,https://www.winemag.com/buying-guide/nigl-2017-ried-goldberg-riesling-kremstal/,"Ripe Mirabelle plum and red apple fruit are surrounded by aromatic notes of crushed citrus foliage. That alluring headiness continues on the fresh, juicy, generous body that always has a zesty, almost salty, mouthwatering edge. Wonderfully streamlined and fresh, with a long, zesty and dry finish. Drink until 2035."
140,Grüner Veltliner,Malat 2017 Ried Höhlgraben Alte Reben Grüner Veltliner (Kremstal),Austria,50,95,2017,Kremstal,https://www.winemag.com/buying-guide/malat-2017-ried-hohlgraben-alte-reben-gruner-veltliner-kremstal/,"Yeast, wet earth and supremely aromatic pear notes make for an intriguing nose. On the palate it is lifted, fruity, fresh and almost passion-fruit-like juiciness that make this irresistible. The body is concentrated and fluid and for now showcases its brilliant, refreshing and exciting fruit, but underneath is a core of salty richness that makes this so very moreish. Fluid, salty, zesty, slender but rounded."
142,Riesling,Hiedler 2017 Ried Heiligenstein Riesling (Kamptal),Austria,50,95,2017,Kamptal,https://www.winemag.com/buying-guide/hiedler-2017-ried-heiligenstein-riesling-kamptal/,"Something savory, something aromatic dances on the nose. It is reminiscent of green bergamot peel. The palate comes in with wonderful concentration and precise slenderness, yet is brimming with both tart and ripe citrus notes that range from Mandarin orange to zesty lime. This echoes long and is really lip-smacking."
143,Riesling,Eichinger 2017 Ried Gaisberg Riesling (Kamptal),Austria,32,95,2017,Kamptal,https://www.winemag.com/buying-guide/eichinger-2017-ried-gaisberg-riesling-kamptal/,"Amid the lively and bright lemon notes on the nose, a riper, more aromatic touch of juicy Mandarin and blood orange sets an exotic accent. The palate comes in with a lovely, light, easy juiciness and a wonderful harmony of ripe freshness and expressive, juicy fruit. The zesty concentration is made manifest only on the finish."
147,Riesling,Weszeli 2015 Ried Steinmassl Riesling (Kamptal),Austria,49,95,2015,Kamptal,https://www.winemag.com/buying-guide/weszeli-2015-ried-steinmassl-riesling-kamptal/,"Very ripe and supremely juicy Mirabelle plum fruit appears promisingly on the nose. The palate obliges with rich, rounded and generous Mirabelle juiciness. There is freshness to counter this with a faint line of grapefruit zestiness. But Mirabelle plays front and center. The finish is streamlined, lip-smacking and dry. Drink now–2030."
149,Grüner Veltliner,Türk 2017 Ried Kremser Thurnerberg Reserve Grüner Veltliner (Kremstal),Austria,NULL,95,2017,Kremstal,https://www.winemag.com/buying-guide/turk-2017-ried-kremser-thurnerberg-reserve-gruner-veltliner-kremstal/,"The fragrance of crushed citrus leaves creates a heady opening on the nose before ripe pear and lemon balm follow. The palate presents a picture of concentrated zestiness with edges of white pepper, salty preserved lemon and arugula, all wrapped in pear-fruited richness. Zest also characterizes the finish of this wine, which carries its full-flavored richness lightly."
150,Riesling,Leindl 2017 Ried Heiligenstein Riesling (Kamptal),Austria,43,95,2017,Kamptal,https://www.winemag.com/buying-guide/leindl-2017-ried-heiligenstein-riesling-kamptal/,"A hint of dried pear and dried lime zest plays before juicier lime speaks. The palate has a similar tension between ripe, almost dried fruit richness, while zestiness tones it all down into taut slenderness. This is exciting, textured, juicy and totally moreish. There is something concentrated and pervasive that hits several pleasure buttons at once. Drink now–2035."
151,Grüner Veltliner,Josef Jamek 2017 Ried Liebenberg Smaragd Grüner Veltliner (Wachau),Austria,37,95,2017,Wachau,https://www.winemag.com/buying-guide/josef-jamek-2017-ried-liebenberg-smaragd-gruner-veltliner-wachau/,"A lovely green apple freshness streams from the glass before a fennel and yeast savoriness spreads out. The slender palate then regales us with utter lemony concentration that highlights pepper, pear, apple, sage and wet stone. Zestiness shimmers and is wonderfully pervasive, keeping this taut and wonderfully vivid."
152,Grüner Veltliner,Eichinger 2017 Ried Gaisberg Grüner Veltliner (Kamptal),Austria,29,95,2017,Kamptal,https://www.winemag.com/buying-guide/eichinger-2017-ried-gaisberg-gruner-veltliner-kamptal/,"Salt, pepper and lemon notes own the nose offer the promise of savoriness. The palate then wheels out all the salty concentration in full force. This tingles like lemon zest and has the texture of citrus pith. Concentration and savoriness are written all over it. This is compact, deeply savory and totally lip-smacking."
153,Grüner Veltliner,Domäne Wachau 2017 Ried Kellerberg Smaragd Grüner Veltliner (Wachau),Austria,46,95,2017,Wachau,https://www.winemag.com/buying-guide/domane-wachau-2017-ried-kellerberg-smaragd-gruner-veltliner-wachau/,"Highly aromatic notes of glowingly ripe, juicy pear also have an edge of bergamot. This aromatic sophistication carries over onto the palate where pithy, zesty citrus provides lots of concentration. The result is totally mouthwatering in a salty fashion that is utterly moreish and very refreshing. This is racy, taut and packed with flavor."
