"category","rating","country","average_price"
"White","80","Argentina","                12.28"
"White","80","Australia","                13.00"
"White","80","Brazil","                22.50"
"White","80","Bulgaria","                 9.00"
"White","80","Chile","                11.27"
"White","80","Cyprus","                10.00"
"White","80","France","                17.08"
"White","80","Germany","                15.00"
"White","80","Greece","                15.50"
"White","80","Italy","                13.85"
"White","80","Japan","                24.00"
"White","80","Mexico","                13.00"
"White","80","New Zealand","                21.00"
"White","80","Portugal",NULL
"White","80","Romania","                12.50"
"White","80","South Africa","                12.75"
"White","80","Spain","                13.00"
"White","80","Uruguay","                13.67"
"White","80","US","                15.86"
"White","81","Argentina","                13.00"
"White","81","Australia","                12.71"
"White","81","Bulgaria","                 9.00"
"White","81","Chile","                12.19"
"White","81","France","                14.46"
"White","81","Georgia","                 9.00"
"White","81","Germany","                14.00"
"White","81","Greece","                13.50"
"White","81","Israel","                14.75"
"White","81","Italy","                15.91"
"White","81","Lebanon","                25.00"
"White","81","Mexico","                17.67"
"White","81","Moldova","                 9.00"
"White","81","New Zealand","                16.75"
"White","81","Portugal","                10.00"
"White","81","Romania","                12.00"
"White","81","South Africa","                11.40"
"White","81","Spain","                14.85"
"White","81","Uruguay","                12.00"
"White","81","US","                15.20"
"White","82","Argentina","                12.93"
"White","82","Australia","                14.83"
"White","82","Austria","                23.67"
"White","82","Brazil","                15.00"
"White","82","Bulgaria","                 9.00"
"White","82","Canada","                20.00"
"White","82","Chile","                12.31"
"White","82","China","                17.00"
"White","82","Croatia","                40.50"
"White","82","France","                16.68"
"White","82","Georgia","                21.50"
"White","82","Germany","                14.36"
"White","82","Greece","                14.56"
"White","82","Hungary","                18.00"
"White","82","Israel","                21.20"
"White","82","Italy","                14.68"
"White","82","Lebanon","                20.50"
"White","82","Mexico","                17.17"
"White","82","Moldova","                11.50"
"White","82","New Zealand","                16.40"
"White","82","Peru","                12.00"
"White","82","Portugal","                10.69"
"White","82","Romania","                14.67"
"White","82","Slovakia","                15.00"
"White","82","Slovenia","                15.00"
"White","82","South Africa","                11.23"
"White","82","Spain","                15.97"
"White","82","Ukraine","                 6.00"
"White","82","Uruguay","                20.00"
"White","82","US","                16.82"
"White","82",NULL,NULL
"White","83","Argentina","                12.56"
"White","83","Australia","                12.32"
"White","83","Austria","                16.20"
"White","83","Bulgaria","                 9.00"
"White","83","Canada","                15.00"
"White","83","Chile","                11.93"
"White","83","Croatia","                15.67"
"White","83","Egypt",NULL
"White","83","France","                16.02"
"White","83","Georgia","                19.50"
"White","83","Germany","                14.11"
"White","83","Greece","                15.80"
"White","83","Hungary","                 9.00"
"White","83","Israel","                22.00"
"White","83","Italy","                14.96"
"White","83","Lebanon","                29.50"
"White","83","Mexico","                15.00"
"White","83","Moldova","                11.20"
"White","83","New Zealand","                17.57"
"White","83","Peru","                11.50"
"White","83","Portugal","                 9.64"
"White","83","Romania","                13.00"
"White","83","Slovenia","                20.00"
"White","83","South Africa","                11.00"
"White","83","Spain","                15.48"
"White","83","Uruguay","                10.50"
"White","83","US","                16.62"
"White","84","Argentina","                12.67"
"White","84","Australia","                13.19"
"White","84","Austria","                18.17"
"White","84","Brazil","                15.00"
"White","84","Bulgaria","                 8.60"
"White","84","Canada","                16.89"
"White","84","Chile","                12.38"
"White","84","Croatia","                15.25"
"White","84","Czech Republic","                16.00"
"White","84","Egypt",NULL
"White","84","France","                16.49"
"White","84","Georgia","                24.20"
"White","84","Germany","                18.28"
"White","84","Greece","                16.91"
"White","84","Hungary","                 8.67"
"White","84","Israel","                17.15"
"White","84","Italy","                14.13"
"White","84","Lebanon","                25.00"
"White","84","Mexico","                16.83"
"White","84","Moldova","                 9.00"
"White","84","Morocco","                25.00"
"White","84","New Zealand","                16.95"
"White","84","Peru","                14.00"
"White","84","Portugal","                10.58"
"White","84","Romania","                 9.53"
"White","84","Slovenia","                20.00"
"White","84","South Africa","                11.62"
"White","84","Spain","                15.39"
"White","84","Turkey","                19.25"
"White","84","Uruguay","                14.50"
"White","84","US","                17.34"
"White","84",NULL,"                 6.00"
"White","85","Argentina","                13.38"
"White","85","Australia","                14.28"
"White","85","Austria","                17.89"
"White","85","Brazil","                15.00"
"White","85","Bulgaria","                 8.60"
"White","85","Canada","                17.00"
"White","85","Chile","                12.87"
"White","85","Croatia","                32.00"
"White","85","Cyprus","                16.50"
"White","85","Czech Republic","                25.00"
"White","85","France","                17.50"
"White","85","Georgia","                11.00"
"White","85","Germany","                18.49"
"White","85","Greece","                18.04"
"White","85","Hungary","                18.00"
"White","85","Israel","                18.24"
"White","85","Italy","                15.27"
"White","85","Japan","                24.00"
"White","85","Lebanon","                36.00"
"White","85","Macedonia","                15.00"
"White","85","Mexico","                26.00"
"White","85","Moldova","                 8.00"
"White","85","Morocco","                14.00"
"White","85","New Zealand","                16.45"
"White","85","Portugal","                11.43"
"White","85","Romania","                28.31"
"White","85","Slovenia","                20.00"
"White","85","South Africa","                12.75"
"White","85","Spain","                15.36"
"White","85","Tunisia",NULL
"White","85","Turkey","                17.67"
"White","85","Ukraine","                 9.00"
"White","85","Uruguay","                20.33"
"White","85","US","                18.16"
"White","85",NULL,NULL
"White","86","Argentina","                14.02"
"White","86","Australia","                15.42"
"White","86","Austria","                17.92"
"White","86","Bulgaria","                10.71"
"White","86","Canada","                20.00"
"White","86","Chile","                13.34"
"White","86","Croatia","                22.00"
"White","86","Czech Republic","                17.50"
"White","86","France","                19.26"
"White","86","Georgia","                12.00"
"White","86","Germany","                18.10"
"White","86","Greece","                19.34"
"White","86","Hungary","                14.60"
"White","86","Israel","                22.17"
"White","86","Italy","                16.82"
"White","86","Lebanon","                27.00"
"White","86","Luxembourg","                36.00"
"White","86","Macedonia","                13.00"
"White","86","Mexico","                18.00"
"White","86","Moldova","                10.50"
"White","86","New Zealand","                17.11"
"White","86","Portugal","                12.40"
"White","86","Romania","                 8.19"
"White","86","Slovenia","                16.00"
"White","86","South Africa","                13.62"
"White","86","Spain","                16.68"
"White","86","Turkey","                15.00"
"White","86","Uruguay","                19.00"
"White","86","US","                19.61"
"White","86",NULL,NULL
"White","87","Argentina","                15.39"
"White","87","Armenia","                14.00"
"White","87","Australia","                18.13"
"White","87","Austria","                19.64"
"White","87","Bosnia and Herzegovina","                16.00"
"White","87","Bulgaria","                12.38"
"White","87","Canada","                19.35"
"White","87","Chile","                14.64"
"White","87","Croatia","                18.58"
"White","87","Cyprus","                13.00"
"White","87","Czech Republic","                17.67"
"White","87","France","                22.43"
"White","87","Georgia","                17.50"
"White","87","Germany","                19.73"
"White","87","Greece","                19.72"
"White","87","Hungary","                21.25"
"White","87","India","                11.50"
"White","87","Israel","                20.93"
"White","87","Italy","                19.67"
"White","87","Lebanon","                30.50"
"White","87","Luxembourg","                36.00"
"White","87","Macedonia","                15.00"
"White","87","Mexico","                18.83"
"White","87","Moldova","                11.83"
"White","87","Morocco","                15.00"
"White","87","New Zealand","                17.34"
"White","87","Portugal","                13.81"
"White","87","Romania","                10.21"
"White","87","Serbia","                24.00"
"White","87","Slovakia","                16.00"
"White","87","Slovenia","                17.82"
"White","87","South Africa","                15.46"
"White","87","Spain","                16.95"
"White","87","Turkey","                18.86"
"White","87","Uruguay","                17.33"
"White","87","US","                20.66"
"White","88","Argentina","                18.28"
"White","88","Australia","                20.30"
"White","88","Austria","                21.14"
"White","88","Brazil","                20.00"
"White","88","Bulgaria","                13.00"
"White","88","Canada","                21.16"
"White","88","Chile","                17.80"
"White","88","Croatia","                21.31"
"White","88","Cyprus","                14.00"
"White","88","Czech Republic","                15.00"
"White","88","France","                26.45"
"White","88","Georgia","                19.70"
"White","88","Germany","                21.82"
"White","88","Greece","                18.97"
"White","88","Hungary","                23.00"
"White","88","India","                12.00"
"White","88","Israel","                23.78"
"White","88","Italy","                23.36"
"White","88","Lebanon","                20.00"
"White","88","Luxembourg","                36.50"
"White","88","Macedonia","                15.00"
"White","88","Mexico","                22.00"
"White","88","Moldova","                14.50"
"White","88","Morocco","                18.00"
"White","88","New Zealand","                18.33"
"White","88","Portugal","                16.43"
"White","88","Romania","                13.93"
"White","88","Serbia","                18.00"
"White","88","Slovenia","                22.33"
"White","88","South Africa","                17.92"
"White","88","Spain","                20.84"
"White","88","Turkey","                22.40"
"White","88","Ukraine","                 9.00"
"White","88","Uruguay","                30.00"
"White","88","US","                21.94"
"White","88","US-France","                50.00"
