category,rating,country,varietal,average_price
White,85,Austria,Welschriesling,16.5
White,84,Austria,Welschriesling,NULL
White,87,Australia,Semillon-Sauvignon Blanc,18
White,85,US,Pinot Gris,16.49
White,91,New Zealand,Pinot Gris,27.67
White,86,New Zealand,Pinot Grigio,17.5
White,86,Italy,Garganega,15.57
White,87,Mexico,Sauvignon Blanc,21.5
White,86,Czech Republic,Pinot Blanc,20
White,81,Argentina,Torrontés,13.32
White,89,Greece,Moschofilero,16.22
White,87,Slovenia,Moscato,11
White,90,France,Pinot Auxerrois,29.6
White,89,Portugal,Portuguese White,19.02
White,90,Canada,Gewürztraminer,20
White,84,Australia,Semillon-Sauvignon Blanc,12.25
White,87,Canada,Roussanne,30
White,86,France,Melon,13.6
White,89,France,Sémillon,24.5
White,81,Romania,Chardonnay,10
White,88,Slovenia,Malvasia,36
White,87,Portugal,Riesling,18
White,86,Portugal,White Blend,10
White,83,Argentina,Sémillon,22
White,91,Italy,Pinot Bianco,26.25
White,82,US,Sémillon,17.33
White,86,Australia,Riesling,15.82
White,85,NULL,Chardonnay,NULL
White,84,Romania,Sauvignon Blanc,9
White,85,France,Sylvaner,NULL
White,83,US,Seyval Blanc,15.25
White,90,Argentina,Torrontés,10.67
White,84,France,Muscat,10
White,85,Spain,Chardonnay,16
White,87,Italy,Malvasia Istriana,NULL
White,90,Bulgaria,Sauvignon Blanc,12.5
White,80,Argentina,Viognier,11
White,86,Romania,Pinot Grigio,6.75
White,80,France,Sauvignon Blanc,23
White,92,Austria,Zierfandler,19
White,84,US,Arneis,18.75
White,90,US,Viognier-Roussanne,24
White,88,US,Moscato,15.56
White,88,Australia,Vermentino,18
White,85,Greece,Savatiano,8
White,87,Italy,Viognier,26.67
White,83,Argentina,Trebbiano,9
White,84,Germany,Gewürztraminer,15.5
White,88,Italy,Malvasia Bianca,16.5
White,86,France,Gewürztraminer,23.08
White,84,Turkey,Yapincak,20
White,88,US,Pinot-Chardonnay,29
White,93,Greece,Assyrtiko,35
White,83,Austria,Grüner Veltliner,12.67
White,89,Bulgaria,White Blend,15.5
White,88,US,Sylvaner,15
White,90,Israel,Viognier,18
White,88,Italy,Nerello Mascalese,19
White,81,US,Semillon-Sauvignon Blanc,25
White,83,France,Viognier,11
White,83,Germany,Riesling,13.71
White,90,US,Colombard,20
White,87,US,Verdelho,16.33
White,83,Chile,Chardonnay,11.99
White,87,Spain,Garnacha Blanca,16.67
White,97,Germany,Riesling,445
White,89,Australia,Chardonnay,27.13
White,91,South Africa,Rhône-style White Blend,NULL
White,81,Spain,Viognier,13
White,92,New Zealand,Riesling,21.5
White,88,Italy,Pallagrello Bianco,26.67
White,85,South Africa,Gewürztraminer,10
White,84,Argentina,Torrontés,12.21
White,91,Germany,Scheurebe,26.4
White,94,US,Sémillon,14
White,85,France,Jacquère,15
White,87,Slovenia,Malvasia Istriana,30
