"varietal","average_price_varietal"
"Zweigelt-Pinot Noir","                15.00"
"Zweigelt","                22.46"
"Zlahtina","                16.00"
"Zinfandel","                27.30"
"Žilavka","                14.67"
"Zierfandler-Rotgipfler","                23.75"
"Zierfandler","                35.91"
"Zibibbo","                35.83"
"Zelen",NULL
"Yapincak","                18.00"
"Xynisteri","                18.50"
"Xinomavro","                22.82"
"Xinisteri","                15.00"
"Xarel-lo","                19.88"
"White Riesling","                18.74"
"White Port","                28.50"
"White Blend","                22.84"
"Welschriesling","                41.48"
"Weisser Burgunder","                31.80"
"Weissburgunder","                28.37"
"Vranec","                15.50"
"Vranac","                11.00"
"Viura-Verdejo","                14.33"
"Viura-Sauvignon Blanc","                13.00"
"Viura-Chardonnay","                10.65"
"Viura","                14.12"
"Vitovska","                53.25"
"Vital",NULL
"Viosinho","                22.60"
"Viognier-Valdiguié","                17.00"
"Viognier-Roussanne","                23.67"
"Viognier-Pinot Gris","                20.00"
"Viognier-Marsanne","                19.89"
"Viognier-Grenache Blanc","                28.50"
"Viognier-Gewürztraminer","                15.00"
"Viognier-Chardonnay","                17.57"
"Viognier","                24.71"
"Vinhão","                22.00"
"Vilana","                13.11"
"Vignoles","                15.50"
"Vidal Blanc","                35.23"
"Vidal","                47.79"
"Vidadillo","                24.00"
"Vespolina","                36.67"
"Vespaiolo","                53.33"
"Vernaccia","                18.58"
"Vermentino Nero","                45.00"
"Vermentino","                22.57"
"Verduzzo Friulano ","                36.46"
"Verduzzo","                27.33"
"Verdosilla","                17.00"
"Verdil","                17.00"
"Verdicchio","                21.09"
"Verdelho","                18.75"
"Verdejo-Viura","                11.73"
"Verdejo-Sauvignon Blanc","                12.00"
"Verdejo","                15.98"
"Verdeca","                18.57"
"Veltliner","                29.50"
"Valvin Muscat","                14.00"
"Valdiguié","                20.29"
"Uvalino","                29.00"
"Uva di Troia","                23.47"
"Ugni Blanc-Colombard","                10.33"
"Ugni Blanc","                24.00"
"Turbiana","                23.37"
"Tsolikouri","                14.00"
"Tsapournakos","                27.00"
"Trousseau Gris","                22.00"
"Trousseau","                36.09"
"Trollinger","                22.00"
"Trincadeira","                21.29"
"Trepat","                21.88"
"Treixadura","                17.50"
"Trebbiano Spoletino","                22.00"
"Trebbiano di Lugana","                22.00"
"Trebbiano-Malvasia","                49.25"
"Trebbiano","                22.18"
"Traminette","                15.72"
"Traminer","                28.05"
"Traminac","                28.00"
"Trajadura","                11.67"
"Touriga Nacional Blend","                26.44"
"Touriga Nacional-Cabernet Sauvignon","                15.46"
"Touriga Nacional","                28.21"
"Touriga Franca","                24.94"
"Touriga","                35.25"
"Torrontés","                13.11"
"Torontel","                40.75"
"Torbato","                21.00"
"Tokay Pinot Gris","                30.70"
"Tokay","                63.88"
"Tokaji","                74.58"
"Tocai Rosso","                14.00"
"Tocai Friulano","                24.14"
"Tocai","                20.82"
"Tinto Velasco","                 9.00"
"Tinto Fino","                59.09"
"Tinto del Pais","                44.38"
"Tintilia ","                25.00"
"Tinta Roriz","                33.46"
"Tinta Negra Mole","                73.83"
"Tinta Miúda","                18.67"
"Tinta Francisca","                50.00"
"Tinta Fina","                26.79"
"Tinta del Toro","                25.33"
"Tinta del Pais","                30.67"
"Tinta de Toro","                45.22"
"Tinta Cao","                14.00"
"Tinta Caiada","                16.00"
"Tinta Barroca","                30.20"
"Tinta Amarela","                30.00"
"Timorasso","                45.75"
"Thrapsathiri","                25.00"
"Terret Blanc",NULL
"Terrantez","               236.00"
"Teroldego Rotaliano","                17.00"
"Teroldego","                30.91"
"Teran","                24.55"
"Tempranillo Blend","                37.08"
"Tempranillo Blanco","                29.25"
"Tempranillo-Tannat","                20.00"
"Tempranillo-Syrah","                19.50"
"Tempranillo-Shiraz","                13.19"
"Tempranillo-Merlot","                14.81"
"Tempranillo-Malbec","                29.00"
"Tempranillo-Garnacha","                12.40"
"Tempranillo-Cabernet Sauvignon","                39.54"
"Tempranillo","                30.92"
"Tannat-Syrah","                17.50"
"Tannat-Merlot","                16.89"
"Tannat-Malbec","                60.00"
"Tannat-Cabernet Franc","                21.17"
"Tannat-Cabernet","                20.18"
"Tannat","                31.18"
"Tamjanika","                20.00"
"Tamianka","                20.00"
"Tămâioasă Românească","                11.00"
"Tai","                10.00"
"Syrah-Xinomavro","                18.00"
"Syrah-Viognier","                49.96"
"Syrah-Tempranillo","                36.89"
"Syrah-Petite Sirah","                45.07"
"Syrah-Petit Verdot","                42.00"
"Syrah-Mourvèdre","                32.43"
"Syrah-Merlot","                23.89"
"Syrah-Malbec","                24.00"
"Syrah-Grenache-Viognier","                14.00"
"Syrah-Grenache","                26.68"
"Syrah-Garnacha","                13.00"
"Syrah-Carmenère","                11.00"
"Syrah-Carignan","                24.20"
"Syrah-Cabernet Sauvignon","                46.31"
"Syrah-Cabernet Franc","                77.00"
"Syrah-Cabernet","                26.54"
"Syrah-Bonarda","                14.00"
"Syrah","                36.39"
"Symphony","                13.00"
"Sylvaner","                22.86"
