"category","country","count"
"White","US","29292"
"White","France","12774"
"White","Italy","7318"
"White","Germany","3845"
"White","Austria","3745"
"White","Spain","2606"
"White","Portugal","2590"
"White","Chile","2394"
"White","Australia","2374"
"White","New Zealand","2189"
"White","South Africa","1484"
"White","Argentina","1424"
"White","Greece","447"
"White","Israel","166"
"White","Canada","144"
"White","Hungary","106"
"White","Romania","93"
"White","Slovenia","74"
"White","Bulgaria","64"
"White","Croatia","57"
"White","Georgia","51"
"White","Moldova","35"
"White","Mexico","30"
"White","Uruguay","27"
"White","Turkey","24"
"White","Lebanon","19"
"White","Luxembourg","10"
"White","Czech Republic","10"
"White","Morocco","9"
"White","Switzerland","8"
"White","Cyprus","7"
"White","Macedonia","6"
"White","India","6"
"White","Brazil","6"
"White","Peru","5"
"White","Serbia","4"
"White","Ukraine","4"
"White","Egypt","3"
"White","Slovakia","2"
"White","China","2"
"White","Japan","2"
"White","Bosnia and Herzegovina","1"
"White","Armenia","1"
"White","US-France","1"
"White","Tunisia","1"
"White",NULL,"0"
