category,rating,total_count,percent_total_cat,cat_percent_all_wines,avg_price,
Red,90,17703,11.8%,60.6%, $41.66 ,
Red,91,13552,9.0%,60.6%, $46.87 ,
Red,92,11567,7.7%,60.6%, $55.32 ,
Red,93,7944,5.3%,60.6%, $66.47 ,
Red,94,4565,3.0%,60.6%, $82.42 ,
Red,95,2016,1.3%,60.6%, $112.83 ,
Red,96,809,0.5%,60.6%, $148.89 ,
Red,97,405,0.3%,60.6%, $180.83 ,
Red,98,161,0.1%,60.6%, $225.85 ,
Red,99,56,0.0%,60.6%, $321.88 ,
Red,100,31,0.0%,60.6%, $771.10 ,
White,90,8135,11.1%,29.6%, $28.28 ,
White,91,4897,6.7%,29.6%, $33.01 ,
White,92,3920,5.3%,29.6%, $38.81 ,
White,93,2607,3.5%,29.6%, $49.87 ,
White,94,1479,2.0%,29.6%, $63.84 ,
White,95,699,1.0%,29.6%, $84.63 ,
White,96,207,0.3%,29.6%, $114.96 ,
White,97,57,0.1%,29.6%, $243.43 ,
White,98,14,0.0%,29.6%, $292.73 ,
White,99,2,0.0%,29.6%, $302.00 ,
White,100,1,0.0%,29.6%, $848.00 ,
Sparkling,90,1295,34.2%,4.5%, $44.90 ,
Sparkling,91,806,21.3%,4.5%, $54.26 ,
Sparkling,92,679,17.9%,4.5%, $63.71 ,
Sparkling,93,475,12.6%,4.5%, $80.96 ,
Sparkling,94,297,7.9%,4.5%, $101.46 ,
Sparkling,95,147,3.9%,4.5%, $152.37 ,
Sparkling,96,57,1.5%,4.5%, $193.15 ,
Sparkling,97,26,0.7%,4.5%, $290.20 ,
Sparkling,98,12,0.3%,4.5%, $342.58 ,
Sparkling,99,3,0.1%,4.5%, $619.00 ,
Sparkling,100,6,0.2%,4.5%, $549.83 ,
Dessert,90,487,12.9%,1.5%, $42.20 ,
Dessert,91,341,9.0%,1.5%, $48.97 ,
Dessert,92,397,10.5%,1.5%, $51.66 ,
Dessert,93,313,8.3%,1.5%, $61.96 ,
Dessert,94,245,6.5%,1.5%, $87.13 ,
Dessert,95,160,4.2%,1.5%, $107.69 ,
Dessert,96,89,2.4%,1.5%, $129.86 ,
Dessert,97,51,1.3%,1.5%, $196.08 ,
Dessert,98,19,0.5%,1.5%, $192.86 ,
Dessert,99,5,0.1%,1.5%, $211.50 ,
Dessert,100,7,0.2%,1.5%, $176.43 ,
Rose,90,661,8.9%,3.0%, $21.85 ,
Rose,91,336,4.5%,3.0%, $26.93 ,
Rose,92,130,1.8%,3.0%, $31.27 ,
Rose,93,42,0.6%,3.0%, $40.02 ,
Rose,94,10,0.1%,3.0%, $39.90 ,
Rose,95,2,0.0%,3.0%, $47.00 ,
Rose,96,0,0.0%,3.0%,,
Rose,97,0,0.0%,3.0%,,
Rose,98,0,0.0%,3.0%,,
Rose,99,0,0.0%,3.0%,,
Rose,100,0,0.0%,3.0%,,
Port/Sherry,90,236,12.8%,0.7%,39.17,
Port/Sherry,91,169,9.2%,0.7%,47.73,
Port/Sherry,92,143,7.7%,0.7%,70.77,
Port/Sherry,93,124,6.7%,0.7%,79.59,
Port/Sherry,94,72,3.9%,0.7%,98.02,
Port/Sherry,95,60,3.3%,0.7%,131.24,
Port/Sherry,96,35,1.9%,0.7%,198.57,
Port/Sherry,97,23,1.2%,0.7%,162.48,
Port/Sherry,98,5,0.3%,0.7%,232,
Port/Sherry,99,7,0.4%,0.7%,298.71,
Port/Sherry,100,3,0.2%,0.7%,383.33,
Fortified,90,20,13.6%,0.1%,43,
Fortified,91,10,6.8%,0.1%,33.4,
Fortified,92,19,12.9%,0.1%,60.94,
Fortified,93,5,3.4%,0.1%,109.6,
Fortified,94,6,4.1%,0.1%,55.2,
Fortified,95,11,7.5%,0.1%,224.55,
Fortified,96,4,2.7%,0.1%,215,
Fortified,97,1,0.7%,0.1%,375,
Fortified,98,1,0.7%,0.1%,350,
Fortified,99,0,0.0%,0.1%,,
Fortified,100,0,0.0%,0.1%,,
