"category","country","count"
"Red","US","70249"
"White","US","29292"
"Red","Italy","22978"
"Red","France","20237"
"White","France","12774"
"Red","Spain","8095"
"White","Italy","7318"
"Red","Argentina","5941"
"Red","Chile","5785"
"Red","Australia","5123"
"Red","Portugal","5055"
"Sparkling","France","4162"
"White","Germany","3845"
"White","Austria","3745"
"Sparkling","Italy","3151"
"Rose","France","2917"
"White","Spain","2606"
"White","Portugal","2590"
"Rose","US","2490"
"White","Chile","2394"
"White","Australia","2374"
"White","New Zealand","2189"
"Red","South Africa","1989"
"Sparkling","US","1817"
"White","South Africa","1484"
"Red","New Zealand","1438"
"White","Argentina","1424"
"Port/Sherry","Portugal","1418"
"Red","Austria","1223"
"Sparkling","Spain","1082"
"Dessert","US","1011"
"Dessert","France","947"
"Dessert","Italy","700"
"Red","Israel","643"
"Rose","Spain","490"
"White","Greece","447"
"Rose","Italy","442"
"Red","Greece","427"
"Dessert","Austria","401"
"Rose","Portugal","396"
"Red","Germany","266"
"Port/Sherry","Spain","245"
"Sparkling","Australia","188"
"Dessert","Germany","183"
"Red","Uruguay","171"
"White","Israel","166"
"Sparkling","Austria","146"
"White","Canada","144"
"Red","Canada","132"
"Sparkling","Portugal","131"
"Red","Bulgaria","128"
"Port/Sherry","US","125"
"Rose","Argentina","123"
"Rose","Australia","106"
"White","Hungary","106"
"Rose","Chile","104"
"Dessert","Canada","99"
"Rose","Austria","98"
"White","Romania","93"
"Sparkling","England","91"
"Dessert","Australia","88"
"Red","Romania","85"
"Sparkling","Argentina","82"
"Dessert","Spain","79"
"Sparkling","Germany","76"
"White","Slovenia","74"
"Red","Hungary","73"
"Red","Turkey","73"
"Dessert","Hungary","72"
"Rose","South Africa","71"
"Sparkling","South Africa","68"
"Red","Mexico","64"
"White","Bulgaria","64"
"Red","Moldova","60"
"Red","Croatia","57"
"White","Croatia","57"
"Dessert","Chile","57"
"Fortified","Portugal","55"
"Red","Georgia","54"
"White","Georgia","51"
"Fortified","France","50"
"Red","Brazil","45"
"Rose","Greece","36"
"White","Moldova","35"
"Rose","Germany","35"
"Port/Sherry","Australia","34"
"Dessert","Greece","33"
"Dessert","South Africa","32"
"Rose","New Zealand","32"
"Sparkling","Brazil","31"
"White","Mexico","30"
"Dessert","Portugal","30"
"Sparkling","Chile","27"
"White","Uruguay","27"
"Sparkling","New Zealand","25"
"Red","Slovenia","25"
"Red","Lebanon","25"
"White","Turkey","24"
"Red","Morocco","20"
"Fortified","US","20"
"White","Lebanon","19"
"Rose","Israel","16"
"Red","Peru","14"
"Dessert","New Zealand","13"
"Port/Sherry","Italy","13"
"Fortified","Italy","12"
"Red","Macedonia","12"
"Red","Switzerland","11"
"Dessert","Israel","11"
"White","Czech Republic","10"
"White","Luxembourg","10"
"Dessert","Argentina","9"
"Sparkling","Israel","9"
"Sparkling","Moldova","9"
"Sparkling","Ukraine","9"
"White","Morocco","9"
"White","Switzerland","8"
"Red","India","8"
"Red","Cyprus","8"
"Rose","Lebanon","7"
"Red","Czech Republic","7"
"White","Cyprus","7"
"Rose","Bulgaria","7"
"Fortified","Australia","7"
"Red","China","7"
"Rose","Turkey","7"
"Red","Serbia","6"
"White","Brazil","6"
"White","Macedonia","6"
"Port/Sherry","South Africa","6"
"White","India","6"
"Dessert","Cyprus","5"
"Sparkling","Hungary","5"
"Rose","Hungary","5"
"Sparkling","Georgia","5"
"Rose","Uruguay","5"
"White","Peru","5"
"Dessert","Moldova","5"
"Rose","Croatia","5"
"Rose","Canada","5"
"Sparkling","Luxembourg","4"
"Rose","Mexico","4"
"Rose","Georgia","4"
"Sparkling","Lithuania","4"
"Port/Sherry","France","4"
"White","Serbia","4"
"White","Ukraine","4"
"White","Egypt","3"
"Rose","Switzerland","3"
"Rose","Romania","3"
"Rose","Moldova","3"
"Sparkling","Canada","3"
"Red","South Korea","3"
"Red","Bosnia and Herzegovina","3"
"Red","Ukraine","3"
"Red","Armenia","3"
"Rose","Slovenia","2"
"Rose","Morocco","2"
"Dessert","Croatia","2"
"White","Japan","2"
"Sparkling","Slovenia","2"
"White","China","2"
"Fortified","Spain","2"
"Sparkling","Turkey","2"
"Dessert","Uruguay","2"
"White","Slovakia","2"
"Dessert","Ukraine","2"
"Rose","Armenia","1"
"White","Bosnia and Herzegovina","1"
"Rose","China","1"
"Red","Tunisia","1"
"Red","Montenegro","1"
"Sparkling","Romania","1"
"Sparkling","Peru","1"
"Red","Global","1"
"Rose","Czech Republic","1"
"Sparkling","India","1"
"Red","Albania","1"
"Sparkling","Croatia","1"
"Port/Sherry","Israel","1"
"Rose","Ukraine","1"
"Fortified","Uruguay","1"
"Sparkling","Bulgaria","1"
"Dessert","Slovenia","1"
"Rose","Tunisia","1"
"White","US-France","1"
"White","Armenia","1"
"White","Tunisia","1"
"Dessert","Georgia","1"
"White",NULL,"0"
"Red",NULL,"0"
"Rose",NULL,"0"
