"category","varietal","country","count"
"Red","Kallmet","Albania","1"
"Red","Cabernet Sauvignon-Tempranillo","Argentina","2"
"Red","Syrah-Cabernet","Argentina","1"
"Red","Syrah","Argentina","164"
"Rose","Rosado","Argentina","4"
"Red","Petit Verdot","Argentina","26"
"Rose","Moscato","Argentina","1"
"Red","Barbera","Argentina","6"
"Red","Syrah-Malbec","Argentina","1"
"Red","Pedro Ximénez","Argentina","1"
"Dessert","Torrontés","Argentina","4"
"Sparkling","Sparkling Blend","Argentina","44"
"Sparkling","Champagne Blend","Argentina","22"
"White","Semillon-Chardonnay","Argentina","1"
"Rose","Merlot-Malbec","Argentina","1"
"White","Malbec","Argentina","4"
"White","Trebbiano","Argentina","1"
"Red","Cordisco","Argentina","1"
"White","Tocai","Argentina","1"
"Red","Tannat","Argentina","16"
"White","Pinot Gris","Argentina","16"
"White","White Blend","Argentina","57"
"White","Bonarda","Argentina","1"
"White","Chardonnay-Sauvignon","Argentina","2"
"Red","Bordeaux-style Red Blend","Argentina","175"
"Sparkling","Malbec","Argentina","4"
"White","Torrontés","Argentina","447"
"Red","Merlot-Cabernet Franc","Argentina","1"
"White","Sémillon","Argentina","19"
"Red","Viognier","Argentina","1"
"White","Moscato","Argentina","13"
"White","Chardonnay-Pinot Grigio","Argentina","1"
"Red","Bonarda","Argentina","185"
"Rose","Shiraz-Malbec","Argentina","1"
"Dessert","Chardonnay","Argentina","2"
"Red","Sauvignon Blanc","Argentina","3"
"Red","Sémillon","Argentina","1"
"White","Chardonnay-Pinot Gris","Argentina","1"
"Red","Syrah-Bonarda","Argentina","2"
"Red","Malbec-Syrah","Argentina","22"
"Red","Tempranillo-Malbec","Argentina","1"
"White","Verdelho","Argentina","1"
"Red","Cabernet Sauvignon-Malbec","Argentina","44"
"Red","Merlot-Malbec","Argentina","7"
"White","Semillon-Sauvignon Blanc","Argentina","2"
"Red","Malbec-Merlot","Argentina","22"
"Red","Cabernet-Malbec","Argentina","2"
"Red","Shiraz-Malbec","Argentina","5"
"Red","Malbec-Cabernet Sauvignon","Argentina","89"
"Dessert","Muscat","Argentina","1"
"Red","Red Blend","Argentina","465"
"Red","Malbec Blend","Argentina","7"
"White","Pinot Grigio","Argentina","46"
"Red","Malbec-Tannat","Argentina","7"
"Red","Tempranillo Blend","Argentina","2"
"White","Moscatel","Argentina","2"
"White","Tocai Friulano","Argentina","1"
"Sparkling","Torrontés","Argentina","3"
"Rose","Cabernet Sauvignon","Argentina","1"
"Red","Meritage","Argentina","3"
"Red","Syrah-Viognier","Argentina","4"
"Red","Malbec-Petit Verdot","Argentina","4"
"Red","Malbec-Bonarda","Argentina","9"
"Red","Cabernet-Syrah","Argentina","2"
"White","Chardonnay-Viognier","Argentina","16"
"Red","Pinot Noir","Argentina","178"
"Red","Shiraz-Cabernet Sauvignon","Argentina","1"
"Red","Pinot Gris","Argentina","1"
"Red","Malbec-Corvina","Argentina","1"
"Sparkling","Pinot Noir","Argentina","2"
"Red","Cabernet Franc","Argentina","102"
"Red","Shiraz","Argentina","31"
"Red","Cabernet Sauvignon-Shiraz","Argentina","6"
"Rose","Malbec-Syrah","Argentina","1"
"White","Chenin Blanc-Chardonnay","Argentina","6"
"Red","Cabernet Sauvignon","Argentina","1124"
"White","Fumé Blanc","Argentina","1"
"Red","Cabernet Sauvignon-Syrah","Argentina","5"
"Red","Cabernet Franc-Cabernet Sauvignon","Argentina","3"
"White","Saint Jeannet","Argentina","1"
"White","Pinot Noir","Argentina","2"
"Red","Tempranillo","Argentina","61"
"Red","Nebbiolo","Argentina","3"
"Red","Cabernet Franc-Petit Verdot","Argentina","1"
"White","Chardonnay-Semillon","Argentina","1"
"Sparkling","Chardonnay","Argentina","7"
"Red","Malbec","Argentina","2864"
"Red","Cabernet Sauvignon-Cabernet Franc","Argentina","2"
"Red","Malbec-Cabernet Franc","Argentina","13"
"White","Riesling","Argentina","3"
"Red","Trousseau","Argentina","1"
"Red","Merlot","Argentina","206"
"Red","Malbec-Tempranillo","Argentina","7"
"Red","Cabernet Blend","Argentina","14"
"Red","Syrah-Cabernet Sauvignon","Argentina","1"
"Rose","Malbec-Cabernet Sauvignon","Argentina","3"
"Red","Cabernet Sauvignon-Merlot","Argentina","13"
"Red","Chardonnay","Argentina","3"
"Red","Malbec-Cabernet","Argentina","4"
"White","Bordeaux-style White Blend","Argentina","1"
"Dessert","Malbec","Argentina","1"
"Rose","Rosé","Argentina","68"
"White","Sauvignon Blanc","Argentina","142"
"White","Viognier","Argentina","44"
"Rose","Pinot Noir","Argentina","1"
"Dessert","Sauvignon Blanc","Argentina","1"
"Rose","Malbec","Argentina","42"
"White","Sauvignon Blanc-Semillon","Argentina","1"
"Red","Merlot-Cabernet Sauvignon","Argentina","1"
"White","Chenin Blanc","Argentina","3"
"Red","Syrah-Garnacha","Argentina","1"
"Red","Cabernet Franc-Malbec","Argentina","6"
"Red","Sangiovese","Argentina","7"
"White","Cabernet Sauvignon","Argentina","1"
"White","Chardonnay","Argentina","585"
"White","Gewürztraminer","Argentina","1"
"Red","Areni","Armenia","3"
"White","Kangoun","Armenia","1"
"Rose","Rosé","Armenia","1"
"Dessert","White Blend","Australia","2"
"Sparkling","Sauvignon Blanc","Australia","2"
"Red","G-S-M","Australia","70"
"Sparkling","Moscato","Australia","14"
"Rose","Rosé","Australia","59"
"Red","Cabernet Blend","Australia","39"
"Sparkling","Shiraz-Grenache","Australia","1"
"Red","Sauvignon Blanc","Australia","1"
"White","Shiraz","Australia","3"
"Red","Cabernet-Shiraz","Australia","3"
"Red","Cabernet Sauvignon","Australia","993"
"Red","Shiraz-Cabernet","Australia","3"
"White","Assyrtiko","Australia","1"
"White","Muscat of Alexandria","Australia","1"
"Red","Bordeaux-style Red Blend","Australia","92"
"White","Sauvignon Blanc-Semillon","Australia","52"
"White","Gewürztraminer","Australia","3"
"White","Sémillon","Australia","74"
"Red","Cabernet Merlot","Australia","22"
"Red","Pinot Grigio","Australia","1"
"Sparkling","Rosé","Australia","1"
"Port/Sherry","Tokay","Australia","8"
"Red","Mourvèdre","Australia","14"
"Red","Merlot-Cabernet Sauvignon","Australia","2"
"Sparkling","Champagne Blend","Australia","44"
"Red","Garnacha","Australia","1"
"Red","Merlot-Cabernet Franc","Australia","3"
"White","Riesling","Australia","402"
"Rose","Nebbiolo","Australia","1"
"Rose","Pinot Noir","Australia","6"
"Red","Nebbiolo","Australia","2"
"White","Fiano","Australia","2"
"Dessert","Muscadelle","Australia","6"
"White","Moscato","Australia","5"
"White","Viognier-Marsanne","Australia","4"
"Red","Grenache-Shiraz","Australia","13"
"Sparkling","Shiraz-Cabernet Sauvignon","Australia","1"
"Red","Cabernet Sauvignon-Shiraz","Australia","73"
"Rose","Shiraz-Grenache","Australia","2"
"Red","Cabernet Sauvignon-Sangiovese","Australia","1"
"Red","Rhône-style Red Blend","Australia","69"
"Red","Malbec","Australia","5"
"Sparkling","Sparkling Blend","Australia","71"
"Red","Tannat","Australia","1"
"Red","Saperavi","Australia","1"
"Dessert","Port","Australia","7"
"Red","Shiraz-Cabernet Sauvignon","Australia","127"
"Red","Syrah","Australia","56"
"Red","Muscat","Australia","2"
"Red","Chardonnay","Australia","13"
"Rose","Grenache-Syrah","Australia","2"
"White","Chardonnay-Semillon","Australia","1"
"Red","Durif","Australia","9"
"Red","Dolcetto","Australia","2"
"Dessert","Chardonnay-Semillon","Australia","2"
"Rose","Grenache","Australia","9"
"Red","Petite Sirah","Australia","12"
"Sparkling","Chardonnay","Australia","6"
"Dessert","Shiraz","Australia","1"
"Red","Rosé","Australia","1"
"White","Pinot Grigio","Australia","50"
"Rose","Sangiovese","Australia","7"
"Red","Shiraz-Roussanne","Australia","1"
"Red","Merlot","Australia","202"
"Fortified","Shiraz","Australia","1"
"White","Roussanne-Marsanne","Australia","1"
"Dessert","Chenin Blanc","Australia","1"
"White","Vermentino","Australia","9"
"Red","Cabernet Sauvignon-Malbec","Australia","2"
"Red","Moscato","Australia","1"
"Red","Mataro","Australia","6"
"Red","Pinot Gris","Australia","1"
"Rose","Grenache-Shiraz","Australia","3"
"White","Viognier","Australia","90"
"Port/Sherry","Shiraz","Australia","1"
"Red","Sparkling Blend","Australia","1"
"Rose","Moscato","Australia","1"
"White","Muscat Blanc à Petits Grains","Australia","2"
"Port/Sherry","Rhône-style Red Blend","Australia","1"
"Red","Chardonnay-Viognier","Australia","1"
"White","Chardonnay","Australia","1178"
"Dessert","Riesling","Australia","10"
"Sparkling","Merlot","Australia","4"
"White","Marsanne-Roussanne","Australia","3"
"Red","Tempranillo","Australia","8"
"White","Colombard","Australia","1"
"Red","Syrah-Cabernet","Australia","1"
"White","Sauvignon Blanc","Australia","193"
"Red","Grenache Blend","Australia","1"
"Red","Tokay","Australia","1"
"White","Chardonnay-Viognier","Australia","1"
"Dessert","Tokay","Australia","7"
"Sparkling","Pinot Noir","Australia","4"
"Port/Sherry","Muscat Hamburg","Australia","1"
"White","Savagnin","Australia","3"
"Port/Sherry","Muscat","Australia","10"
"Red","Merlot-Shiraz","Australia","1"
"Red","Shiraz-Grenache","Australia","39"
"Dessert","Muscat","Australia","22"
"Red","Alicante Bouschet","Australia","1"
"Red","Montepulciano","Australia","2"
"White","Merlot","Australia","1"
"White","Pinot Gris","Australia","41"
"Rose","Red Blend","Australia","1"
"Red","Syrah-Grenache","Australia","1"
"Dessert","Muscat Blanc","Australia","1"
"Red","Cabernet Franc-Merlot","Australia","1"
"White","Sauvignon","Australia","1"
"Red","Cabernet Sauvignon-Merlot","Australia","138"
"Red","Grenache-Syrah","Australia","2"
"Red","Shiraz","Australia","2213"
"White","Cabernet Sauvignon","Australia","3"
"White","Rhône-style White Blend","Australia","9"
"Red","Riesling","Australia","4"
"White","Verdelho","Australia","33"
"White","Roussanne","Australia","9"
"Red","Grenache","Australia","165"
"White","Cabernet Sauvignon-Merlot","Australia","2"
"Red","Zinfandel","Australia","8"
"Red","Pinot Noir","Australia","315"
"Sparkling","Pinot Grigio","Australia","1"
"White","White Blend","Australia","88"
"White","Chenin Blanc","Australia","6"
"Red","Barbera","Australia","1"
"Sparkling","Red Blend","Australia","4"
"Red","Merlot-Cabernet","Australia","1"
"Rose","Shiraz","Australia","12"
"Red","Sémillon","Australia","2"
"Dessert","Sémillon","Australia","22"
"Red","Semillon-Chardonnay","Australia","1"
"Red","Shiraz-Mourvèdre","Australia","3"
"Red","Shiraz-Viognier","Australia","93"
"Rose","Cabernet Sauvignon","Australia","2"
"Rose","Rosato","Australia","1"
"Red","Cabernet Franc","Australia","3"
"Red","Carnelian","Australia","2"
"Dessert","Viognier","Australia","3"
"White","Semillon-Chardonnay","Australia","25"
"Port/Sherry","Red Blend","Australia","2"
