ID,alcohol,category,country,description,designation,price,rating,region,subregion,subsubregion,title,url,varietal,vintage,winery,Lat,Lng
0,13.2,Red,US,"This is among winemaker Cathy Corison's finest offerings, made from decades-old vines planted on St. George rootstock. Cassis, red currant and floral elements make for an inviting entry of aromatics that is followed by substantial structure and classic herbal undertones. A pillowy body of balanced elegance is met by an earthy, leathery finish of complex beauty.",Kronos Vineyard,185.0,95.0,California,Napa,St. Helena,Corison 2015 Kronos Vineyard Cabernet Sauvignon (St. Helena),https://www.winemag.com/buying-guide/corison-2015-kronos-vineyard-cabernet-sauvignon-st-helena-308720/,Cabernet Sauvignon,2015.0,Corison,36.778261,-119.4179324
1,15.0,Red,Italy,"Enticing scents of spiced plum, pipe tobacco, crushed mint, new leather and a whiff of smoke come to the forefront. The full-bodied, velvety palate boasts dried cherry, raspberry compote, star anise and a graphite note. Fine-grained tannins provide the firm but elegant framework while fresh acidity keeps it balanced. Drink through 2025.",Vigneto Monte Sant'Urbano,80.0,94.0,Veneto,Amarone della Valpolicella Classico,,Speri 2013 Vigneto Monte Sant'Urbano  (Amarone della Valpolicella Classico),https://www.winemag.com/buying-guide/speri-2013-vigneto-monte-santurbano-amarone-della-valpolicella-classico-307620/,Red Blend,2013.0,Speri,45.4414662,12.3152595
2,14.1,Red,US,"Bright, crunchy red fruit effuses ripeness in this lushly layered wine. Black tea, forest and cedar pierce through, making for a complementary experience that intrigues with complexity.",Foss Vineyard,62.0,94.0,California,Sonoma,Russian River Valley,Williams Selyem 2016 Foss Vineyard Pinot Noir (Russian River Valley),https://www.winemag.com/buying-guide/williams-selyem-2016-foss-vineyard-pinot-noir-russian-river-valley-307966/,Pinot Noir,2016.0,Williams Selyem,36.778261,-119.4179324
3,14.1,White,US,"This white has an expert level of intensity and concentration, and plenty of length within its balanced frame. Flavors of lemon meringue, brioche and apricot are complemented by wet stone.",Dutton Ranch Walker Hill Vineyard,50.0,94.0,California,Sonoma,Green Valley,Dutton-Goldfield 2016 Dutton Ranch Walker Hill Vineyard Chardonnay (Green Valley),https://www.winemag.com/buying-guide/dutton-goldfield-2016-dutton-ranch-walker-hill-vineyard-chardonnay-green-valley/,Chardonnay,2016.0,Dutton-Goldfield,36.778261,-119.4179324
4,13.0,Red,France,"A light touch of wood aging has given this wine ripe, perfumed flavors and rich tannins. A generous wine, it's full of fruit, spice and concentration. Produced from old vines, this dense wine is ready to drink from 2019.",Cuvée Mandrin,20.0,93.0,Beaujolais,Moulin-à-Vent,,Château de Belleverne 2016 Cuvée Mandrin  (Moulin-à-Vent),https://www.winemag.com/buying-guide/chateau-de-belleverne-2016-cuvee-mandrin-moulin-a-vent/,Gamay,2016.0,Château de Belleverne,46.1134349,4.7263863
5,15.5,Red,Italy,"This opens with aromas of ripe berry, underbrush, cedar and pipe tobacco. The concentrated balanced palate offers blackberry jam, baked plum, star anise and clove alongside fine-grained tannins.",Il Bosco,85.0,93.0,Veneto,Amarone della Valpolicella,,Cesari 2012 Il Bosco  (Amarone della Valpolicella),https://www.winemag.com/buying-guide/cesari-2012-il-bosco-amarone-della-valpolicella/,Red Blend,2012.0,Cesari,45.4414662,12.3152595
6,13.5,Red,US,"This old-vine Coury clone cuvée is making its last appearance in Big Table Farm's lineup, for reasons undisclosed. It's a fine finale—a lush and inviting mix of ripe blackberry and black-cherry fruit, sweet spice and a touch of chocolate-covered orange rind. The tannins keep it smooth and supple on through an extended finish.",Wirtz Vineyard,62.0,93.0,Oregon,Willamette Valley,Willamette Valley,Big Table Farm 2016 Wirtz Vineyard Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/big-table-farm-2016-wirtz-vineyard-pinot-noir-willamette-valley/,Pinot Noir,2016.0,Big Table Farm,43.8041334,-120.55420120000001
7,14.3,Red,US,"A paean to the classic signature of the AVA, this mixes blue and black fruits into a fully ripened slice of berry-pie goodness. Along with that exceptional fruit are hints and highlights of earth, herb and olive. The full-bodied flavors are finished with a light suggestion of cedar plank.",,62.0,93.0,Oregon,Willamette Valley,Yamhill-Carlton,Big Table Farm 2016 Pinot Noir (Yamhill-Carlton),https://www.winemag.com/buying-guide/big-table-farm-2016-pinot-noir-yamhill-carlton/,Pinot Noir,2016.0,Big Table Farm,43.8041334,-120.55420120000001
8,13.6,Red,US,"This medium- to full-bodied wine offers ripe fruit flavors and has a bold, moderately tannic texture that fills the mouth. To its credit, the wine shows some restraint in the firm acidity and almost tangy finish, so it keeps one coming back for another sip. Drink through 2026.",Burt Williams' Morning Dew Ranch,85.0,93.0,California,Mendocino County,Anderson Valley,Williams Selyem 2016 Burt Williams' Morning Dew Ranch Pinot Noir (Anderson Valley),https://www.winemag.com/buying-guide/williams-selyem-2016-burt-williams-morning-dew-ranch-pinot-noir-anderson-valley/,Pinot Noir,2016.0,Williams Selyem,36.778261,-119.4179324
9,14.5,Red,Argentina,"The black-fruit aromas on this Malbec-Cab Franc are impressive, and while the palate is tight, drawing and powerful, there's a sense of correctness about its size and strength. Blackberry, cassis and plum flavors are primed by strong acidity, while overall this is a broad fruity Argentine red in all its glory. Enjoy with a good steak through 2028.",Iscay,70.0,93.0,Mendoza Province,Mendoza,,Trapiche 2013 Iscay Malbec-Cabernet Franc (Mendoza),https://www.winemag.com/buying-guide/trapiche-2013-iscay-malbec-cabernet-franc-mendoza/,Malbec-Cabernet Franc,2013.0,Trapiche,-32.8896247,-68.8526867
10,14.6,Red,US,"Very dark in the glass and a tad wound up even three years in, this bottling graciously opens into aromas of lamb roast, charcoal and cassis. It has commanding presence on the palate, with a rich heavy luxurious mouthfeel that delivers flavors of lavender, rosemary, espresso and more cassis.",Old 900,58.0,93.0,California,Central Coast,Adelaida District,Alta Colina 2015 Old 900 Syrah (Adelaida District),https://www.winemag.com/buying-guide/alta-colina-2015-old-900-syrah-adelaida-district/,Syrah,2015.0,Alta Colina,36.778261,-119.4179324
11,13.0,Red,France,"Acidity and richness give this wine an opulent character. Ripe blackberry fruit are shot with acidity, still young and exuberant. The wine needs to soften and fill out to reveal its true intensity. Drink from 2020.",Domaine de Rochegrès,38.0,93.0,Beaujolais,Moulin-à-Vent,,Albert Bichot 2017 Domaine de Rochegrès  (Moulin-à-Vent),https://www.winemag.com/buying-guide/albert-bichot-2017-domaine-de-rochegres-moulin-a-vent/,Gamay,2017.0,Albert Bichot,46.1134349,4.7263863
12,13.8,Red,US,"This outstanding value showcases the fruit from a vineyard adjacent to Jadot's Résonance vineyard. It's an under-the-radar site beautifully expressed here by winemaker Peter Rosback. Densely packed with strawberry and cherry fruit, it's textural, deep and long, wrapping up in a tight citrus-framed finish. Drink now and over the next decade.",Yates Conwill Vineyard,42.0,94.0,Oregon,Willamette Valley,Yamhill-Carlton,Sineann 2017 Yates Conwill Vineyard Pinot Noir (Yamhill-Carlton),https://www.winemag.com/buying-guide/sineann-2017-yates-conwill-vineyard-pinot-noir-yamhill-carlton/,Pinot Noir,2017.0,Sineann,43.8041334,-120.55420120000001
13,12.6,White,US,"Stunning aromatics combine spicy citrus, tangy tropical and spun sugar notes. In the mouth, the wine (though bone dry) still manages to convey a sense of fruit sugar. It's tart, racy and complex, with the structure to age for 15 years or longer, but delicious already. The vines date back to the early 1970s.",Maresh Vineyard Old Vine,30.0,94.0,Oregon,Willamette Valley,Dundee Hills,Harper Voit 2016 Maresh Vineyard Old Vine Riesling (Dundee Hills),https://www.winemag.com/buying-guide/harper-voit-2016-maresh-vineyard-old-vine-riesling-dundee-hills-308248/,Riesling,2016.0,Harper Voit,43.8041334,-120.55420120000001
14,14.5,Red,US,"This captures the magic of this tiny AVA. It's an elegant tumble of berry fruit, sedimentary minerals and light seams of cola, coffee and clean earth. The balance and complexity, along with site-specific density, are superb.",Bramble Hill Vineyard,65.0,94.0,Oregon,Willamette Valley,Ribbon Ridge,Harper Voit 2016 Bramble Hill Vineyard Pinot Noir (Ribbon Ridge),https://www.winemag.com/buying-guide/harper-voit-2016-bramble-hill-vineyard-pinot-noir-ribbon-ridge-308255/,Pinot Noir,2016.0,Harper Voit,43.8041334,-120.55420120000001
15,14.4,Red,US,"The Calera clone is rare in Oregon; here it's in the mix with the more common Pommard. This young, tight wine brings bright, primary cranberry and raspberry fruit flavors, set upon a firm spine of balanced acids and polished tannins. Notes of iron, licorice and coffee grounds come up in the finish, and overall this has the structure for a decade of life at least. Drink 2022 to the early 2030s.",Bieze Vineyard,65.0,94.0,Oregon,Willamette Valley,Eola-Amity Hills,Harper Voit 2016 Bieze Vineyard Pinot Noir (Eola-Amity Hills),https://www.winemag.com/buying-guide/harper-voit-2016-bieze-vineyard-pinot-noir-eola-amity-hills-308253/,Pinot Noir,2016.0,Harper Voit,43.8041334,-120.55420120000001
16,14.8,Red,US,"From an estate site in Pope Valley that rises to an elevation of 1,000-feet, this impresses in high-toned raspberry and cassis fruitiness, accompanied by an aromatic note of violet. Well structured and full bodied, it has secondary characteristics of cedar and dried herb, the oak supportive and not in the way. This will do well in the cellar; enjoy best from 2025–2030.",Estate Grown,55.0,94.0,California,Napa,Napa Valley,Gratus 2015 Estate Grown Malbec (Napa Valley),https://www.winemag.com/buying-guide/gratus-2015-estate-grown-malbec-napa-valley/,Malbec,2015.0,Gratus,36.778261,-119.4179324
17,14.5,Red,US,"Intensely expressive fruit flavors carry this full-boded wine from first whiff through lingering finish. Bright black-cherry tones meet violets in the aroma, while black cherry, blackberry and rhubarb fill out the palate. The flavors are unusually pure and well delineated and the balance is spot-on, as moderate tannins and good fruit acidity bolster the mouthfeel.",Confluence Vineyard Lower Bench,84.0,94.0,California,Mendocino County,Anderson Valley,Goldeneye 2015 Confluence Vineyard Lower Bench Pinot Noir (Anderson Valley),https://www.winemag.com/buying-guide/goldeneye-2015-confluence-vineyard-lower-bench-pinot-noir-anderson-valley-308121/,Pinot Noir,2015.0,Goldeneye,36.778261,-119.4179324
18,13.5,Red,US,"This wine is beautifully fruity in tones of cranberry, strawberry and raspberry, with perfumed wafts of rose and lavender on the nose. It's light in body, driven by bright acidity that keeps it fresh and inviting. A silky display of Asian spice rings on the finish.",Fox Den Vineyard,62.0,94.0,California,Sonoma,Green Valley,Dutton-Goldfield 2016 Fox Den Vineyard Pinot Noir (Green Valley),https://www.winemag.com/buying-guide/dutton-goldfield-2016-fox-den-vineyard-pinot-noir-green-valley/,Pinot Noir,2016.0,Dutton-Goldfield,36.778261,-119.4179324
19,14.2,Red,US,"Though this winery's single-vineyard expressions are awesome, this appellation blend is also a strong choice. Intense aromas of tart pomegranate, cinnamon, sumac and turned soil lead into a smooth, fresh and high-toned palate of rhubarb and French toast flavors.",,45.0,94.0,California,Central Coast,Sta. Rita Hills,Dragonette 2016 Pinot Noir (Sta. Rita Hills),https://www.winemag.com/buying-guide/dragonette-2016-pinot-noir-sta-rita-hills-308225/,Pinot Noir,2016.0,Dragonette,36.778261,-119.4179324
