"ID","alcohol","category","country","description","designation","price","rating","region","subregion","subsubregion","title","url","varietal","vintage","winery"
"94","12.5","Dessert","Austria","Dried white currant fruit, golden sultana and blossom honey notes combine with lifted candied lemon peel on the nose. The sweetish palate walks a delicious and exciting tightrope between honeyed richness and laser-sharp lemon freshness. The texture makes all of this juicy, limpid, concentrated and rich. That sweet and fresh balance is outstanding and will demand either a tart fruit dessert or a platter of mature, aromatic cheese.","Traiskirchen Auslese","38","94","Thermenregion",NULL,NULL,"Stadlmann 2017 Traiskirchen Auslese Zierfandler (Thermenregion)","https://www.winemag.com/buying-guide/stadlmann-2017-traiskirchen-auslese-zierfandler-thermenregion/","Zierfandler","2017","Stadlmann"
"144","11","Dessert","Canada","Thick, concentrated flavors of apricot marmalade, papaya and tangerine dive deep down into the core. This fruit-driven flavor riot is amply annotated by a lush seam of caramel, and the flavors go on and on. One half size bottle will happily serve 4-to-6 sweet tooths.","Icewine","60","95","Lincoln Lakeshore",NULL,NULL,"Cave Spring 2017 Icewine Riesling (Lincoln Lakeshore)","https://www.winemag.com/buying-guide/cave-spring-2017-icewine-riesling-lincoln-lakeshore-308053/","Riesling","2017","Cave Spring"
"254","9.8","Dessert","Canada","Intensely aromatic, this wine brings concentrated flavors of peach syrup, apricot jam and candied pineapple. Lush and tongue-coating, the sweetness (250 g/L residual sugar) is adequately offset with acidity, and as it rolls down the throat brings added layers of maple syrup, butterscotch and butter brickle.","Icewine","55","94","Ontario","Niagara Peninsula",NULL,"Inniskillin 2017 Icewine Vidal (Niagara Peninsula)","https://www.winemag.com/buying-guide/inniskillin-2017-icewine-vidal-niagara-peninsula/","Vidal","2017","Inniskillin"
"272","15","Dessert","France","Elegance and purity abound in this fragrant dessert wine. Aromas of white blossom, apricot and tangerine skin are charming and inviting. Flavors of honeysuckle and hibiscus nectar are concentrated and sweet, glazed with honey and a lingering glycerol cling. It's a fresh and sprightly sip with integrated alcohol and a long floral finish. Enjoy now–2022.",NULL,"19","93","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Domaine de la Pigeade 2016  Muscat de Beaumes de Venise","https://www.winemag.com/buying-guide/domaine-de-la-pigeade-2016-muscat-de-beaumes-de-venise-307945/","Muscat Blanc à Petits Grains","2016","Domaine de la Pigeade"
"340","13","Dessert","Canada","Solidly in the dessert wine camp in this vintage, this checks in at 102 g/L residual sugar. Peach, apricot and ripe nectarine fruit flavors abound, with a drip of honey. It's juicy and big, but never cloying, and finishes with a suggestion of dry straw.","Indian Summer","30","93","Lincoln Lakeshore",NULL,NULL,"Cave Spring 2017 Indian Summer Riesling (Lincoln Lakeshore)","https://www.winemag.com/buying-guide/cave-spring-2017-indian-summer-riesling-lincoln-lakeshore-308052/","Riesling","2017","Cave Spring"
"405","20","Dessert","US","Dark and hearty aromas of blackberry syrup, clove, allspice and prune show on the intense nose of this cigar-perfect Port. A black plum flavor grips the palate as espresso and raisin tones emerge, proving the overall package sweet yet spicy.","Vista Verde Vineyard","40","91","California","Central Coast","San Benito County","Williams Selyem 2012 Vista Verde Vineyard Port (San Benito County)","https://www.winemag.com/buying-guide/williams-selyem-2012-vista-verde-vineyard-port-san-benito-county-308284/","Port","2012","Williams Selyem"
"450","9.5","Dessert","Canada","Inniskillin's Niagara Estate produces an interesting range of icewines, but other than Riesling, the Vidal wines rule. With 250 g/L of residual sugar this falls right down the center line, yielding deeply concentrated, candied flavors of peach, apricot and papaya. The lingering finish carries a seam of butterscotch. One half size bottle will easily serve as dessert for two couples.","Gold Icewine","85","92","Ontario","Niagara Peninsula",NULL,"Inniskillin 2016 Gold Icewine Vidal (Niagara Peninsula)","https://www.winemag.com/buying-guide/inniskillin-2016-gold-icewine-vidal-niagara-peninsula/","Vidal","2016","Inniskillin"
"469","19.2","Dessert","US","As one of the more expressive dessert wines from the region, this bottling offers aromas of candied honeysuckle, tuberose, plumeria and lime balm on the nose. The unctuous and thick palate is balanced by a slick acidity, allowing honey, flowers and citrus flavors to make for an ambrosial experience.","Vista Verde Vineyard Late Harvest","40","92","California","Central Coast","San Benito County","Williams Selyem 2016 Vista Verde Vineyard Late Harvest Gewurztraminer (San Benito County)","https://www.winemag.com/buying-guide/williams-selyem-2016-vista-verde-vineyard-late-harvest-gewurztraminer-san-benito-county-308283/","Gewürztraminer","2016","Williams Selyem"
"498","15","Dessert","France","Made from a blend of 75% white and 25% black Muscat à petits grains, this salmon-hued vin doux naturel boasts a spicy, nutty charm. Flavors of dried fig and candied quince are shaded by hazelnut, anise and dried orange peel. It's a delicately textured yet impeccably balanced, exuberant wine, with a long, honeyed finish. Enjoy now–2027.","Hommage","40","92","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Domaine des Bernardins NV Hommage  (Muscat de Beaumes de Venise)","https://www.winemag.com/buying-guide/domaine-des-bernardins-nv-hommage-muscat-de-beaumes-de-venise-307999/","Muscat",NULL,"Domaine des Bernardins"
"631","15.5","Dessert","France","Delicate white blossom and stone-fruit perfume mingles into hints of earth and cashew in this wine. It's honeyed and sweet, with crisp white-peach and apricot flavors balanced by a fresh mineral tone. While light on its feet and integrated in alcohol, it's a languorously textured vin doux naturel with rich, lingering sweetness on the finish. Enjoy now–2022.",NULL,NULL,"91","Rhône Valley","Muscat de Beaumes de Venise",NULL,"Domaine la Ligière 2016  Muscat de Beaumes de Venise","https://www.winemag.com/buying-guide/domaine-la-ligiere-2016-muscat-de-beaumes-de-venise-307948/","Muscat Blanc à Petits Grains","2016","Domaine la Ligière"
